Sequence,Transect,Segment,position,Gen,Recipient,Fit_plant
388,9,28,R,G2,HR_148,5
389,9,29,L,G2,HR_162,2
389,9,29,R,G2,HR_046,3
390,9,30,L,G2,HR_147,1
390,9,30,R,G2,HR_141,5
391,9,31,L,G1,HR_136,5
391,9,31,R,G1,HR_043,5
392,9,32,L,G2,HR_037,3
392,9,32,R,G2,HR_020,5
393,9,33,L,G2,HR_061,4
393,9,33,R,G2,HR_050,1
394,9,34,L,G2,HR_169,2
394,9,34,R,G2,HR_155,5
395,9,35,L,G1,HR_201,5
395,9,35,R,G1,HR_012,4
396,9,36,L,G1,HR_181,
396,9,36,R,G1,HR_085,2
397,9,37,L,G1,HR_064,4
397,9,37,R,G2,HR_017,
398,9,38,L,G2,HR_180,1
398,9,38,R,G2,HR_051,3
399,9,39,L,G2,HR_092,3
399,9,39,R,G2,HR_131,2
400,9,40,L,G1,HR_041,4
400,9,40,R,G2,HR_105,4
401,9,41,L,G2,HR_201,3
401,9,41,R,G1,HR_109,1
402,9,42,L,G1,HR_049,
402,9,42,R,G1,HR_152,1
403,9,43,L,G1,HR_058,3
403,9,43,R,G2,HR_092,1
404,9,44,L,G2,HR_043,2
404,9,44,R,G2,HR_113,3
405,9,45,L,G2,HR_166,5
405,9,45,R,G1,HR_177,2
406,9,46,L,G1,HR_006,
406,9,46,R,G1,HR_038,3
