,,,,Collection Date: 2022-04-14,,,,Collection Date: 2022-04-20,,,,Collection Date: 2022-04-26 to 2022-04-27,,,,Collection Date: 2022-05-02 to 2022-05-06,,,,Collection Date: 2022-05-09 to 2022-05-12,,,,Collection Date: 2022-05-16 to 2022-05-20,,,,Collection Date: 2022-05- 23 to 2022-05-24,,,,Collection Date: 2022-06-13 to 2022-06-19,,,,Collection Date: NA,,,
5,HR_133,HR_133,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HR_134,HR_134,8,,,,,,,,,,,,,7,11,11,24.67,,,,,,,,,,,,,,,,,,,,
5,HR_142,HR_142,6,,,,,,,,,,,,,5,10,10,14.97,,,,,,,,,,,,,,,,,,,,
5,HR_152,HR_152,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HR_153,HR_153,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HR_162,HR_162,6,,,,,,,,,,,,,3,8,8,24.33,,,,,,,,,,,,,,,,,,,,
5,HR_165,HR_165,5,,,,,,,,,1,6,6,18.5,9,27,27,52.9,3,5,5,10.62,2,1,1,3.54,,,,,,,,,,,,
5,HR_170,HR_170,4,,,,,,,,,,,,,7,12,12,43.51,,,,,,,,,,,,,,,,,,,,
5,HR_173,HR_173,NA,,,,,,,,,,,,,,,,,1,2,2,4.11,,,,,,,,,,,,,,,,
5,HR_176,HR_176,6,,,,,,,,,,,,,5,11,11,25.45,,,,,2,2,2,5.57,,,,,,,,,,,,
5,HR_177,HR_177,6,,,,,,,,,,,,,8,13,13,30.63,,,,,2,4,4,8.64,,,,,,,,,,,,
5,HR_180,HR_180,8,,,,,,,,,,,,,7,30,30,59.43,2,6,6,8.46,6,9,9,16.47,1,1,1,1.03,,,,,,,,
5,HR_181,HR_181,6,,,,,,,,,,,,,10,14,14,33.29,,,,,2,2,2,3.26,,,,,,,,,,,,
5,HR_183,HR_183,3,,,,,,,,,,,,,2,6,6,12.72,,,,,,,,,,,,,,,,,,,,
5,HR_197,HR_197,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HR_201,HR_201,6,,,,,,,,,2,4,4,6.02,,,,,3,1,1,2.24,,,,,,,,,,,,,,,,
6,HR_10,HR_010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HR_14,HR_014,5,,,,,,,,,,,,,8,14,14,53.02,7,4,4,11.35,1,1,1,3.39,3,1,1,4.1,,,,,,,,
6,HR_15,HR_015,7,,,,,,,,,,,,,8,15,15,70,,,,,4,3,3,5.76,,,,,,,,,,,,
6,HR_16,HR_016,8,,,,,,,,,,,,,12,7,7,21.72,,,,,7,1,1,1.05,,,,,,,,,,,,
6,HR_18,HR_018,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HR_19,HR_019,4,,,,,,,,,,,,,4,1,1,2.82,4,1,1,3.37,,,,,,,,,,,,,,,,
6,HR_23,HR_023,3,,,,,,,,,,,,,3,10,10,25.74,,,,,,,,,,,,,,,,,,,,
6,HR_25,HR_025,3,,,,,,,,,1,2,2,5.2,2,7,7,26.69,,,,,,,,,,,,,,,,,,,,
6,HR_26,HR_026,2,,,,,,,,,,,,,7,5,5,11.85,,,,,1,1,1,1.39,,,,,,,,,,,,
6,HR_27,HR_027,5,,,,,,,,,,,,,13,39,39,89.75,2,2,2,3.47,5,3,3,7.48,,,,,,,,,,,,
6,HR_28,HR_028,1,,,,,,,,,,,,,6,22,22,53.56,3,6,6,10.89,2,2,2,5.8,,,,,,,,,,,,
6,HR_32,HR_032,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HR_37,HR_037,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HR_38,HR_038,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HR_41,HR_041,6,,,,,,,,,,,,,6,23,23,51.9,7,34,34,104.96,4,1,1,1.65,,,,,,,,,,,,
6,HR_51,HR_051,6,,,,,,,,,,,,,5,5,5,16.38,2,1,1,3.36,,,,,,,,,,,,,,,,
6,HR_59,HR_059,4,,,,,,,,,2,7,7,19.01,,,,,,,,,,,,,,,,,,,,,,,,
6,HR_79,HR_079,1,,,,,,,,,,,,,4,4,4,15.85,,,,,,,,,,,,,,,,,,,,
6,HR_88,HR_088,2,,,,,,,,,,,,,4,1,1,5.84,3,4,4,13.63,3,4,4,12.64,,,,,,,,,,,,
6,HR_92,HR_092,3,,,,,,,,,,,,,5,25,25,52.18,2,5,5,9.96,,,,,,,,,,,,,,,,
6,HR_95,HR_095,6,,,,,,,,,,,,,2,4,4,9.26,,,,,2,1,1,1.45,,,,,,,,,,,,
6,HR_101,HR_101,4,,,,,,,,,,,,,21,64,50,158.08,13,11,11,27.68,3,5,5,12.34,,,,,,,,,,,,
6,HR_104,HR_104,2,,,,,,,,,,,,,4,2,2,5.72,,,,,,,,,,,,,,,,,,,,
6,HR_105,HR_105,1,,,,,,,,,,,,,,,,,3,12,12,14.98,,,,,,,,,,,,,,,,
6,HR_111,HR_111,4,,,,,,,,,,,,,4,3,3,6.01,,,,,,,,,,,,,,,,,,,,
6,HR_112,HR_112,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HR_113,HR_113,5,,,,,,,,,,,,,11,11,11,18.66,,,,,3,2,2,4.08,,,,,,,,,,,,
6,HR_114,HR_114,7,,,,,,,,,,,,,6,16,16,41.8,,,,,,,,,,,,,,,,,,,,
6,HR_115,HR_115,6,,,,,,,,,,,,,,,,,1,2,2,4.04,,,,,,,,,,,,,,,,
6,HR_116,HR_116,3,,,,,,,,,,,,,,,,,6,1,1,3.62,12,1,1,2.57,,,,,,,,,,,,
6,HR_121,HR_121,7,,,,,,,,,,,,,3,4,4,10.28,,,,,,,,,,,,,,,,,,,,
6,HR_129,HR_129,7,,,,,,,,,,,,,7,16,16,39.89,1,1,1,2.46,,,,,,,,,,,,,,,,
6,HR_135,HR_135,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HR_137,HR_137,4,,,,,,,,,,,,,6,12,12,30.87,4,2,2,5.58,2,1,1,3.56,,,,,,,,,,,,
6,HR_148,HR_148,4,,,,,,,,,,,,,8,28,28,70.75,,,,,,,,,,,,,,,,,,,,
6,HR_149,HR_149,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HR_155,HR_155,4,,,,,,,,,,,,,8,9,9,25.98,,,,,,,,,,,,,,,,,,,,
6,HR_159,HR_159,4,,,,,,,,,,,,,6,9,9,37.8,,,,,,,,,,,,,,,,,,,,
6,HR_161,HR_161,7,,,,,,,,,,,,,4,4,4,9.76,5,2,2,5.42,,,,,,,,,,,,,,,,
6,HR_174,HR_174,7,,,,,,,,,,,,,3,1,1,2.52,,,,,,,,,,,,,,,,,,,,
6,HR_178,HR_178,2,,,,,,,,,,,,,8,31,31,72.99,,,,,,,,,,,,,,,,,,,,
6,HR_179,HR_179,6,,,,,,,,,,,,,6,3,3,10.65,,,,,,,,,,,,,,,,,,,,
6,HR_182,HR_182,6,,,,,,,,,,,,,10,3,3,19.91,,,,,,,,,,,,,,,,,,,,
6,HR_190,HR_190,4,,,,,,,,,,,,,6,5,5,12.54,,,,,1,1,1,1.91,,,,,,,,,,,,
6,HR_195,HR_195,5,,,,,,,,,,,,,5,22,22,34.88,,,,,,,,,,,,,,,,,,,,
7,HR_1,HR_001,5,,,,,,,,,,,,,9,48,48,95.26,,,,,7,3,3,5.38,,,,,,,,,,,,
7,HR_5,HR_005,3,,,,,,,,,,,,,7,5,5,9.03,,,,,,,,,,,,,,,,,8,38,38,72.25
7,HR_10,HR_010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_15,HR_015,2,,,,,,,,,,,,,7,25,25,52.84,13,12,12,25.83,1,1,1,2.74,,,,,,,,,,,,
7,HR_17,HR_017,3,,,,,,,,,,,,,5,4,4,8.77,,,,,,,,,,,,,,,,,,,,
7,HR_23,HR_023,3,,,,,,,,,9,77,50,132.8,22,110,50,106.54,1,5,5,16.55,2,1,1,3.43,,,,,,,,,,,,
7,HR_28,HR_028,6,,,,,,,,,15,99,50,86.81,18,52,52,84.94,14,4,4,11.53,10,1,1,3,,,,,,,,,,,,
7,HR_32,HR_032,1,,,,,,,,,2,17,17,34.34,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_46,HR_046,4,,,,,,,,,3,13,13,37.1,7,12,12,22.12,3,4,4,8.26,,,,,,,,,,,,,,,,
7,HR_49,HR_049,1,,,,,,,,,4,4,4,14.03,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_54,HR_054,4,,,,,,,,,,,,,,,,,3,4,4,13.82,,,,,,,,,,,,,,,,
7,HR_56,HR_056,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_57,HR_057,2,,,,,,,,,,,,,4,7,7,18.31,,,,,,,,,,,,,,,,,,,,
7,HR_58,HR_058,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_59,HR_059,7,,,,,,,,,5,11,11,70.83,13,19,19,82.67,7,8,8,37.24,2,2,2,6.01,2,1,1,1.59,,,,,,,,
7,HR_61,HR_061,3,,,,,,,,,5,8,8,27.39,8,2,2,5.04,,,,,2,2,2,5.43,,,,,,,,,,,,
7,HR_65,HR_065,1,,,,,,,,,,,,,7,13,13,33.99,,,,,,,,,,,,,,,,,,,,
7,HR_67,HR_067,5,,,,,,,,,,,,,10,22,22,75.37,2,1,1,2.88,,,,,,,,,,,,,,,,
7,HR_70,HR_070,2,,,,,,,,,10,45,45,85.63,11,25,25,53,1,1,1,2.19,,,,,,,,,,,,,,,,
7,HR_78,HR_078,3,,,,,,,,,,,,,8,29,29,50.09,3,7,7,15.48,2,2,2,1.44,,,,,,,,,,,,
7,HR_104,HR_104,5,,,,,,,,,3,1,1,3.05,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_112,HR_112,3,,,,,,,,,,,,,10,36,36,84.09,12,16,16,29.36,2,1,1,1.52,,,,,,,,,,,,
7,HR_114,HR_114,3,,,,,,,,,2,9,9,24.65,6,13,13,31.73,,,,,,,,,,,,,,,,,,,,
7,HR_124,HR_124,8,,,,,,,,,,,,,2,3,3,11.6,,,,,,,,,,,,,,,,,,,,
7,HR_127,HR_127,2,,,,,,,,,,,,,7,9,9,20.08,1,2,2,4.18,,,,,,,,,,,,,,,,
7,HR_131,HR_131,1,,,,,,,,,4,7,7,10.79,7,4,4,9.59,7,8,8,10.74,4,9,9,12.41,,,,,,,,,,,,
7,HR_134,HR_134,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_136,HR_136,2,,,,,,,,,,,,,8,2,2,6.2,,,,,1,1,1,4.54,,,,,,,,,,,,
7,HR_137,HR_137,5,,,,,,,,,,,,,5,3,3,8.48,3,3,3,6.71,1,1,1,2.58,,,,,,,,,,,,
7,HR_142,HR_142,5,,,,,,,,,,,,,8,29,29,89.29,6,7,7,11.9,,,,,1,1,1,1.56,,,,,,,,
7,HR_147,HR_147,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_148,HR_148,7,,,,,,,,,,,,,7,25,25,62.38,3,5,5,14.65,,,,,,,,,,,,,,,,
7,HR_152,HR_152,2,,,,,,,,,,,,,,,,,5,4,4,11.72,,,,,,,,,,,,,,,,
7,HR_155,HR_155,1,,,,,,,,,3,5,6,14.49,4,12,12,26.84,5,1,1,1.97,,,,,,,,,,,,,,,,
7,HR_156,HR_156,7,,,,,,,,,3,9,9,22.74,8,11,11,29.32,4,3,3,7.88,,,,,,,,,,,,,,,,
7,HR_161,HR_161,4,,,,,,,,,2,6,6,15.89,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_165,HR_165,3,,,,,,,,,3,3,3,5.84,,,,,4,1,1,2.44,,,,,,,,,,,,,,,,
7,HR_173,HR_173,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_175,HR_175,7,,,,,,,,,5,8,8,24.26,17,52,52,132.83,2,5,5,12.02,,,,,,,,,,,,,,,,
7,HR_179,HR_179,5,,,,,,,,,3,1,1,2.12,6,3,3,6.26,2,1,1,1.95,2,1,1,3.67,,,,,,,,,,,,
7,HR_180,HR_180,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_182,HR_182,7,,,,,,,,,,,,,3,4,4,6.46,,,,,,,,,,,,,,,,,,,,
7,HR_183,HR_183,1,,,,,,,,,,,,,4,5,5,13.79,,,,,,,,,,,,,,,,,,,,
7,HR_184,HR_184,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HR_192,HR_192,1,,,,,,,,,6,14,14,31.55,8,21,21,42.83,,,,,2,3,3,3.5,,,,,,,,,,,,
7,HR_201,HR_201,4,,,,,,,,,5,2,2,10.15,,,,,2,2,2,6.37,,,,,,,,,,,,,,,,
8,HR_6,HR_006,1,,,,,,,,,,,,,3,1,1,5.56,3,1,1,2.16,,,,,,,,,,,,,,,,
8,HR_7,HR_007,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HR_12,HR_012,1,,,,,,,,,6,17,17,42.75,5,5,5,9.86,5,10,10,19.31,1,1,1,2.12,,,,,,,,,,,,
8,HR_14,HR_014,1,,,,,,,,,,,,,3,6,6,10.82,7,5,5,20.67,,,,,,,,,,,,,,,,
8,HR_18,HR_018,6,,,,,,,,,3,11,11,41.39,10,16,16,70.74,,,,,,,,,,,,,,,,,,,,
8,HR_19,HR_019,3,,,,,,,,,2,3,3,13.1,5,7,7,43.39,,,,,,,,,,,,,,,,,,,,
8,HR_20,HR_020,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HR_25,HR_025,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HR_26,HR_026,2,,,,,,,,,,,,,8,4,4,11.89,,,,,,,,,,,,,,,,,,,,
8,HR_33,HR_033,7,,,,,,,,,,,,,4,2,2,11.18,,,,,,,,,,,,,,,,,,,,
8,HR_34,HR_034,6,,,,,,,,,,,,,3,5,5,11.2,,,,,1,1,1,1.29,,,,,,,,,,,,
8,HR_40,HR_040,8,,,,,,,,,,,,,15,20,20,52.44,,,,,,,,,,,,,,,,,,,,
8,HR_41,HR_041,6,,,,,,,,,2,9,9,39.27,10,36,36,106.42,3,5,5,10.12,,,,,,,,,,,,,,,,
8,HR_42,HR_042,8,,,,,,,,,,,,,9,2,2,14.9,,,,,,,,,,,,,,,,,,,,
8,HR_51,HR_051,8,,,,,,,,,,,,,7,2,2,4.33,,,,,,,,,,,,,,,,,,,,
8,HR_64,HR_064,1,,,,,,,,,,,,,,,,,1,1,1,3.12,,,,,,,,,,,,,,,,
8,HR_68,HR_068,7,,,,,,,,,,,,,,,,,4,6,6,11.12,,,,,,,,,,,,,,,,
8,HR_71,HR_071,5,,,,,,,,,,,,,14,1,1,4.71,5,3,3,4.72,,,,,,,,,,,,,,,,
8,HR_72,HR_072,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HR_79,HR_079,8,,,,,1,5,5,10.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HR_83,HR_083,5,,,,,,,,,6,18,18,55.73,6,3,3,7.91,,,,,,,,,,,,,,,,,,,,
8,HR_88,HR_088,5,,,,,,,,,7,23,23,86.89,15,24,24,74.15,6,7,7,15.5,6,2,2,7.73,,,,,,,,,,,,
8,HR_92,HR_092,2,,,,,,,,,1,8,8,20.84,3,5,5,11.62,1,3,3,6.46,,,,,,,,,,,,,,,,
8,HR_109,HR_109,3,,,,,,,,,,,,,,,,,2,2,2,8.69,,,,,,,,,,,,,,,,
8,HR_110,HR_110,1,,,,,,,,,2,1,1,2.18,4,6,6,11.8,2,1,1,0.8,,,,,,,,,,,,,,,,
8,HR_111,HR_111,1,,,,,,,,,,,,,8,4,4,15.69,,,,,,,,,,,,,,,,,,,,
8,HR_115,HR_115,6,,,,,,,,,,,,,3,5,5,11.42,,,,,4,3,3,10.53,,,,,,,,,,,,
8,HR_116,HR_116,7,,,,,,,,,3,5,5,18.52,,,,,,,,,,,,,,,,,,,,,,,,
8,HR_119,HR_119,6,,,,,,,,,2,13,13,37.74,12,66,50,98.81,,,,,,,,,,,,,,,,,,,,
8,HR_121,HR_121,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HR_133,HR_133,5,,,,,,,,,2,4,4,9.87,5,13,13,35.08,5,4,4,6.7,,,,,,,,,,,,,,,,
8,HR_139,HR_139,1,,,,,,,,,2,11,11,32.48,14,38,38,123.87,,,,,,,,,,,,,,,,,,,,
8,HR_141,HR_141,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HR_145,HR_145,4,,,,,,,,,,,,,3,4,4,6.84,,,,,,,,,,,,,,,,,1,5,5,5.62
8,HR_150,HR_150,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HR_153,HR_153,3,,,,,,,,,4,12,12,21.02,2,1,1,1.89,5,1,1,1.58,,,,,,,,,,,,,,,,
8,HR_158,HR_158,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HR_162,HR_162,7,,,,,,,,,,,,,3,4,4,10.2,,,,,,,,,,,,,,,,,,,,
8,HR_164,HR_164,3,,,,,,,,,4,20,20,46.17,7,28,28,76.31,3,1,1,2.66,,,,,,,,,,,,,,,,
8,HR_166,HR_166,3,,,,,,,,,,,,,,,,,4,1,1,2.29,,,,,,,,,,,,,,,,
8,HR_168,HR_168,2,,,,,,,,,,,,,7,9,9,29.61,,,,,1,1,1,3.61,,,,,,,,,,,,
8,HR_169,HR_169,6,,,,,,,,,1,3,3,11.93,8,8,8,25.94,8,7,7,34.5,,,,,,,,,,,,,,,,
8,HR_176,HR_176,8,,,,,,,,,3,6,6,20.71,10,11,11,24.41,3,1,1,5.23,,,,,,,,,,,,,,,,
8,HR_177,HR_177,2,,,,,,,,,3,20,20,37.88,6,5,5,7.95,,,,,,,,,,,,,,,,,,,,
8,HR_178,HR_178,6,,,,,,,,,,,,,7,16,16,57.76,,,,,3,1,1,1.8,,,,,,,,,,,,
8,HR_181,HR_181,6,,,,,,,,,3,7,7,16.69,10,22,22,55.88,,,,,,,,,,,,,,,,,,,,
9,HR_4,HR_004,4,,,,,,,,,1,7,7,15.25,2,3,3,5.16,3,3,3,3.37,,,,,,,,,,,,,,,,
9,HR_9,HR_009,7,,,,,,,,,4,12,12,31.51,3,4,4,8.64,,,,,,,,,,,,,,,,,,,,
9,HR_11,HR_011,8,,,,,,,,,9,59,50,98.56,10,7,7,18.88,12,3,3,7.39,3,3,3,5.91,,,,,,,,,,,,
9,HR_16,HR_016,2,,,,,,,,,3,6,6,33.5,4,4,4,17.64,,,,,,,,,,,,,,,,,,,,
9,HR_21,HR_021,8,,,,,,,,,2,4,4,17.49,5,7,7,32.54,,,,,,,,,,,,,,,,,,,,
9,HR_27,HR_027,3,,,,,,,,,2,7,7,22.68,,,,,,,,,,,,,,,,,,,,,,,,
9,HR_35,HR_035,1,,,,,,,,,2,8,8,19.06,3,4,4,10.13,2,3,3,6.75,,,,,,,,,,,,,1,1,1,5.06
9,HR_36,HR_036,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HR_37,HR_037,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HR_38,HR_038,7,,,,,,,,,3,7,7,25.12,15,18,18,60.23,8,9,9,29.02,,,,,,,,,,,,,,,,
9,HR_39,HR_039,2,,,,,,,,,5,16,16,36.99,10,31,31,64.96,5,2,2,4.03,1,1,1,1.43,,,,,,,,,,,,
9,HR_43,HR_043,4,,,,,,,,,3,8,8,31.9,10,12,12,45.29,,,,,,,,,,,,,,,,,,,,
9,HR_44,HR_044,6,,,,,,,,,,,,,2,3,2,6.81,,,,,,,,,,,,,,,,,,,,
9,HR_47,HR_047,7,,,,,,,,,5,11,11,37.32,10,16,16,44.66,5,5,5,18.08,,,,,,,,,,,,,,,,
9,HR_50,HR_050,7,,,,,,,,,8,13,13,70.19,4,5,5,18.6,3,3,3,6.82,,,,,,,,,,,,,,,,
9,HR_53,HR_053,4,,,,,,,,,7,7,7,23.28,10,11,11,32.63,4,6,6,11.01,3,4,4,10.14,,,,,,,,,,,,
9,HR_62,HR_062,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HR_66,HR_066,5,,,,,,,,,5,5,5,68.73,5,16,16,31.18,3,2,2,4.75,,,,,,,,,,,,,,,,
9,HR_73,HR_073,4,,,,,,,,,4,8,8,17.28,4,2,2,3.82,3,2,2,3.11,,,,,,,,,,,,,,,,
9,HR_80,HR_080,4,,,,,,,,,,,,,6,6,6,18.37,5,1,1,1.38,2,1,1,2.27,,,,,,,,,,,,
9,HR_85,HR_085,8,,,,,,,,,9,24,24,69.49,10,13,13,41.3,5,1,1,1.85,,,,,,,,,,,,,,,,
9,HR_86,HR_086,3,,,,,,,,,3,11,11,28.17,2,1,1,1.85,,,,,,,,,,,,,,,,,,,,
9,HR_87,HR_087,4,,,,,,,,,8,17,17,61.13,15,20,20,67.68,,,,,4,2,2,7.3,,,,,,,,,,,,
9,HR_95,HR_095,3,,,,,,,,,1,1,1,2.77,6,20,20,45.77,2,4,4,12.16,,,,,,,,,,,,,,,,
9,HR_101,HR_101,6,,,,,,,,,2,6,6,9.65,,,,,,,,,,,,,,,,,,,,,,,,
9,HR_103,HR_103,1,,,,,,,,,2,3,3,8.12,4,2,2,6.22,,,,,,,,,,,,,,,,,,,,
9,HR_105,HR_105,5,,,,,,,,,5,35,35,64.42,4,8,8,11.69,,,,,,,,,,,,,,,,,,,,
9,HR_107,HR_107,1,,,,,,,,,,,,,1,1,1,3.58,,,,,,,,,,,,,,,,,,,,
9,HR_108,HR_108,1,,,,,,,,,,,,,17,8,8,37.48,5,2,2,13.73,,,,,,,,,,,,,,,,
9,HR_113,HR_113,4,,,,,,,,,5,2,2,6.11,7,24,24,55.27,,,,,,,,,,,,,,,,,,,,
9,HR_118,HR_118,1,,,,,,,,,5,3,3,9.57,8,12,12,31.69,2,2,2,5.3,,,,,,,,,,,,,,,,
9,HR_123,HR_123,8,,,,,,,,,6,8,8,21.26,13,12,12,30.01,2,3,3,9.39,,,,,,,,,,,,,,,,
9,HR_126,HR_126,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HR_129,HR_129,1,,,,,,,,,2,11,11,26.02,6,1,1,3.43,,,,,,,,,,,,,,,,,,,,
9,HR_135,HR_135,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,7,27.91
9,HR_146,HR_146,5,,,,,,,,,,,,,7,1,1,2.47,,,,,,,,,,,,,,,,,,,,
9,HR_149,HR_149,7,,,,,,,,,5,1,1,2.21,,,,,,,,,,,,,,,,,,,,,,,,
9,HR_159,HR_159,5,,,,,,,,,6,4,4,12.2,3,3,3,5.57,,,,,,,,,,,,,,,,,,,,
9,HR_170,HR_170,7,,,,,,,,,10,46,46,112.36,10,5,5,19.33,6,3,3,5.12,1,1,1,2.1,,,,,,,,,,,,
9,HR_174,HR_174,6,,,,,,,,,5,6,6,21.91,8,16,16,54.01,1,3,3,8.99,,,,,,,,,,,,,,,,
9,HR_190,HR_190,7,,,,,,,,,2,4,4,20.63,6,14,13,42.27,,,,,,,,,,,,,,,,,,,,
9,HR_193,HR_193,1,,,,,,,,,8,13,13,40.94,22,108,108,106.55,4,14,14,47.22,5,2,2,3.74,,,,,,,,,,,,
9,HR_195,HR_195,7,,,,,,,,,,,,,8,18,18,45.53,,,,,,,,,,,,,,,,,,,,
9,HR_196,HR_196,6,,,,,,,,,4,7,7,16.76,7,20,20,62.76,,,,,3,2,2,6.11,,,,,,,,,,,,
9,HR_197,HR_197,4,,,,,,,,,2,2,2,5.47,2,3,3,8.06,,,,,,,,,,,,,,,,,,,,
W1,HR_15,HR_015,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_17,HR_017,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_40,HR_040,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_43,HR_043,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_44,HR_044,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_56,HR_056,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_59,HR_059,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_64,HR_064,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_71,HR_071,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_80,HR_080,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_101,HR_101,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_112,HR_112,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_119,HR_119,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_142,HR_142,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_145,HR_145,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_146,HR_146,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_148,HR_148,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_149,HR_149,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_162,HR_162,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_180,HR_180,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,HR_184,HR_184,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_15,HR_015,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_17,HR_017,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_40,HR_040,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_43,HR_043,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_44,HR_044,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_56,HR_056,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_59,HR_059,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_64,HR_064,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_71,HR_071,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_80,HR_080,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_101,HR_101,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_112,HR_112,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2,HR_119,HR_119,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
