,,,,Collection Date: 2022-04-08,,,,Collection Date: 2022-04-22 to 2022-04-23,,,,Collection Date: 2022-04-28 to 2022-04-29,,,,Collection Date: 2022-05-04,,,,Collection Date: 2022-05-12,,,,Collection Date: 2022-05-19 ,,,,Collection Date: 2022-05-25 to 2022-05-26,,,,Collection Date: 2022-06-09,,,,Collection Date: NA,,,,ff_date
2,82,BB_166,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,82,BB_42,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Apr
2,82,BB_25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,82,BB_131,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,83,BB_109,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,83,BB_39,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,83,BB_93,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,83,BB_102,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
2,84,BB_152,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
2,84,BB_187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29-Apr
2,84,BB_186,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,85,BB_79,3,,,,,,,,,,,2,2.53,,,,,,,,,,,,,,,,,,,,,,,,,29-Apr
2,85,BB_2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
2,85,BB_29,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.69,,,,,,,,,18-Mar
2,85,BB_193,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,86,BB_103,1,,,,,,,,,,,,,,,,,,,8,15.45,,,,,,,,,,,,,,,,,4-May
2,86,BB_179,2,,,,,,,,,,,3,4.67,,,,,,,,,,,,,,,,,,,,,,,,,29-Apr
2,86,BB_77,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,86,BB_189,7,,,,,,,7,17.69,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
2,87,BB_137,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,87,BB_206,2,,,,,,,,,,,,,,,2,9.2,,,,,,,,,,,,,,,,,,,,,12-Mar
2,87,BB_87,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,87,BB_126,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,88,BB_140,NA,,,,,,,,,,,,,,,,,,,4,10.62,,,,,,,,,,,,,,,,,18-Mar
2,88,BB_116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
2,88,BB_17,2,,,,,,,2,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
2,88,BB_149,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
2,89,BB_154,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,89,BB_139,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,89,BB_185,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,89,BB_208,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
W1,90,BB_164,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
W1,90,BB_24,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
W1,90,BB_79,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
2,91,BB_158,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,91,BB_70,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,91,BB_7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2,91,BB_49,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,92,BB_117,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,92,BB_160,8,,,,,,,,,,,,,,,8,40.4,,,,,,,,,,,,,,,,,,,,,25-Feb
2,92,BB_10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,92,BB_80,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,93,BB_4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,93,BB_172,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,93,BB_132,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,93,BB_138,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,94,BB_101,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
2,94,BB_94,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
2,94,BB_13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,95,BB_201,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,95,BB_88,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,95,BB_63,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,96,BB_205 B,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,96,BB_98,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
2,96,BB_200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,96,BB_44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,97,BB_190,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
2,97,BB_71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr
2,97,BB_60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
2,98,BB_86,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,98,BB_110,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,99,BB_59,2,,,,,,,,,,,,,,,,,,,,,,,1,2.28,,,,,,,,,,,,,17-Mar
2,99,BB_192,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,99,BB_35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,99,BB_205 A,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
W2,100,BB_32,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
W2,100,BB_161,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
W2,100,BB_85,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,101,BB_97,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
2,101,BB_74,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr
2,101,BB_21,3,,,,,,,,,,,,,,,7,15,,,,,,,,,,,,,,,,,,,,,8-Apr
2,102,BB_89,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,102,BB_34,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
2,102,BB_183,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,103,BB_215,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,103,BB_181,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,103,BB_30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,103,BB_54,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
2,104,BB_170,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
2,104,BB_48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.18,,,,,8-Apr
2,104,BB_46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2,105,BB_123,7,,,,,,,,,,,,,,,,,,,,,,,4,13.12,,,,,,,,,,,,,17-Mar
3,106,BB_71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,106,BB_103,5,,,,,,,,,,,,,,,2,4.03,,,,,,,,,,,,,,,,,,,,,1-Apr
3,106,BB_72,5,,,,,,,,,,,,,,,,,,,3,10.61,,,,,,,,,,,,,,,,,1-Apr
3,107,BB_159,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
3,107,BB_181,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,107,BB_20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Mar
3,108,BB_215,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,108,BB_204,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,108,BB_186,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr
3,109,BB_97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,109,BB_87,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
3,109,BB_24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
W2,110,BB_77,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-Apr
W2,110,BB_61,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-Apr
W2,110,BB_187,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,111,BB_69,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,111,BB_27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-May
3,111,BB_127,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.92,,,,,,,,,26-Mar
3,112,BB_68,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
3,112,BB_151,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,112,BB_161,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr
3,112,BB_218,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,113,BB_30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,113,BB_201,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,113,BB_118,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,114,BB_126,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,114,BB_35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
3,114,BB_32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,115,BB_101,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,115,BB_77,7,,,,,,,,,,,,,,,4,12.79,,,,,,,,,,,,,,,,,,,,,26-Mar
3,115,BB_214,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,116,BB_149,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
3,116,BB_78,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,116,BB_64,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,117,BB_98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,117,BB_190,3,,,,,,,,,,,,,,,2,13.87,,,,,,,,,,,,,,,,,,,,,8-Apr
3,117,BB_92,8,,,,,,,,,,,,,,,,,,,3,15.11,,,,,,,,,,,,,,,,,17-Mar
3,118,BB_2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,118,BB_207,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,118,BB_34,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Mar
3,119,BB_143,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,119,BB_189,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
3,119,BB_86,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
W2,120,BB_24,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
W2,120,BB_137,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
W2,120,BB_17,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,121,BB_88,1,,,,,,,,,,,,,,,7,19.67,,,,,,,,,,,,,,,,,,,,,26-Mar
3,121,BB_123,2,,,,,,,,,,,,,,,,,,,8,32.59,,,,,,,,,,,,,,,,,26-Mar
3,121,BB_109,7,,,,,,,,,,,1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,121,BB_134,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12.66,NA
3,122,BB_120,1,,,,,,,,,,,,,,,1,1.9,,,,,,,,,,,,,,,,,,,,,NA
3,122,BB_152,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,122,BB_21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,123,BB_10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
3,123,BB_18,5,,,,,,,,,,,4,19.05,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
3,123,BB_3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,124,BB_42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,124,BB_195,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,124,BB_74,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,124,BB_193,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
3,125,BB_44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
3,125,BB_49,2,,,,,,,3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
3,125,BB_131,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-May
3,126,BB_205 B,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Apr
3,126,BB_117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
3,126,BB_172,3,,,,,,,4,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,126,BB_13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,127,BB_206,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,127,BB_80,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
3,127,BB_60,8,,,,,,,,,,,,,,,7,15.15,,,2,4.57,,,,,,,,,,,,,,,,,26-Mar
3,128,BB_153,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,128,BB_183,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
3,128,BB_16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,129,BB_58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.64,17-Mar
3,129,BB_137,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
3,129,BB_89,8,,,,,,,,,,,15,64.22,,,,,,,,,,,9,32.84,,,,,,,,,,,,,11-Mar
W2,130,BB_185,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-May
W2,130,BB_118,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
W2,130,BB_105,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
3,131,BB_19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
3,131,BB_199,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
3,131,BB_170,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
3,131,BB_84,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,132,BB_121,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,132,BB_63,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,132,BB_79,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
3,133,BB_133,3,,,,,,,,,,,10,20.56,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,133,BB_53,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,133,BB_135,8,,,,,,,,,,,6,12.53,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,134,BB_146,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,134,BB_85,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Mar
3,134,BB_132,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
3,135,BB_208,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
3,135,BB_52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,135,BB_45,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Feb
3,136,BB_210,7,,,,,,,,,,,,,,,,,,,4,12.65,,,,,,,,,,,,,,,,,18-Mar
3,136,BB_48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
3,136,BB_61,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
3,137,BB_31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
3,137,BB_140,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
3,137,BB_150,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,138,BB_185,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,138,BB_160,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
3,138,BB_76,5,,,,,,,,,,,,,,,,,,,3,11.9,,,,,,,,,,,,,,,,,8-Apr
3,139,BB_113,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
3,139,BB_46,2,,,,,,,,,,,4,12.46,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,139,BB_200,7,,,,,,,,,,,4,17.11,,,,,,,2,4.72,,,,,,,,,,,,,,,,,25-Mar
W2,140,BB_164,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
W2,140,BB_49,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
W2,140,BB_143,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,141,BB_192,1,,,,,,,,,,,,,,,,,,,,,,,2,5.75,,,,,,,,,,,,,11-Mar
3,141,BB_164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
3,141,BB_163,5,,,,,,,,,,,,,,,1,7.14,,,,,,,,,,,,,,,,,,,,,NA
3,141,BB_37,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Mar
3,142,BB_104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,40.99,,,,,,,,,8-Apr
3,142,BB_54,4,,,,,,,,,,,1,4.94,,,,,,,,,,,4,29.33,,,5,36.65,,,,,,,,,23-Apr
3,142,BB_154,5,,,,,,,,,,,,,,,,,,,,,,,2,13.58,,,,,,,,,,,,,2-Apr
3,143,BB_94,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,143,BB_17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,143,BB_110,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
3,144,BB_105,8,,,,,,,6,19.07,,,,,,,,,,,,,,,1,3.91,,,,,,,,,,,,,18-Mar
3,144,BB_81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,144,BB_119,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
3,144,BB_70,7,,,,,,,,,,,,,,,6,20.26,,,,,,,,,,,,,,,,,,,,,2-Apr
3,145,BB_50,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,145,BB_209,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,145,BB_83,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
3,145,BB_216,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,146,BB_102,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
3,146,BB_116,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,146,BB_39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,34.02,,,,,,,,,2-Apr
3,146,BB_158,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,147,BB_25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,147,BB_111,5,,,,,,,,,,,,,,,,,,,5,33.7,,,2,27.66,,,,,,,,,,,,,2-Apr
3,147,BB_187,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,148,BB_40,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,148,BB_171,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
3,148,BB_29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.12,,,,,,,,,18-Mar
3,149,BB_93,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,149,BB_138,5,,,,,,,,,,,,,,,,,,,,,,,,,,,14,54.74,,,2,4.02,,,,,8-Apr
3,149,BB_139,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
3,149,BB_56,8,,,,,,,,,,,,,,,,,,,,,,,5,15.74,,,,,,,,,,,,,NA
W2,150,BB_59,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
W2,150,BB_79,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
W2,150,BB_51,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,151,BB_4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,151,BB_211,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
3,151,BB_51,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
3,151,BB_8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
3,152,BB_7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
3,152,BB_43,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
3,152,BB_114,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
3,153,BB_145,1,,,,,,,,,,,,,,,,,,,,,,,9,42.97,,,,,,,,,,,,,12-Mar
3,153,BB_179,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
3,153,BB_148,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
3,154,BB_95,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
3,154,BB_205 A,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
3,154,BB_166,8,,,,,,,,,,,8,21.99,,,2,4.84,,,,,,,,,,,,,,,,,,,,,18-Mar
3,155,BB_147,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
3,155,BB_59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
3,155,BB_157,7,,,,,,,,,,,5,22.23,,,,,,,6,18.66,,,,,,,,,,,,,,,,,12-Mar
3,156,BB_9,7,,,,,,,,,,,,,,,4,8.38,,,2,3.39,,,7,13.41,,,,,,,,,,,,,18-Mar
W2,160,BB_20,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
W2,160,BB_152,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
W2,160,BB_102,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
