"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,TOTAL COUNTS (To be summed after all data entered),,,The average of the weekly mean seed mass,Collection Date: 2023-03-30,,,,,Collection Date: 2023-04-12,,,,,Collection Date: 2023-04-26,,,,,Collection Date: 2023-05-10,,,,,Collection Date: 2023-05-24,,,,,Collection Date: 2023-06-07,,,,,Collection Date: 2023-06-21,,,,,Collection Date: NA,,,,,Notes:
Location,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-03-30,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-04-12,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-04-26,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-10,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-24,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-07,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-21,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA,
28,82R,G2,X,BB_059,4,,,,4.603666667,,,,,,,,,,,,,,,,,,,,,13,62,30,138.11,4.603666667,,,,,,,,,,,,,,,,
28,83L,G1,-,BB_080,2,,,,5.828333333,,,,,,,,,,,,,,,,1,1,1,6.27,6.27,5,3,3,16.16,5.386666667,,,,,,,,,,,,,,,,
28,83R,G1,-,BB_185,1,,,,4.028819444,,,,,,,,,,,,,,,,2,3,3,5.71,1.903333333,10,16,16,78.45,4.903125,3,8,8,42.24,5.28,,,,,,,,,,,
28,84L,G1,-,BB_021,3,,,,2.973857143,,,,,,,,,,,,,,,,,,,,,19,139,30,77.76,2.592,2,7,7,23.49,3.355714286,,,,,,,,,,,
28,84R,G1,-,BB_152,4,,,,5.135555556,,,,,,,,,,,,,,,,,,,,,3,9,9,45.64,5.071111111,2,4,4,20.8,5.2,,,,,,,,,,,
29,85L,G2,X,BB_104,2,,,,2.00547343,,,,,,9,45,30,25.27,0.842333333,,,,,,5,23,23,40.62,1.766086957,17,89,30,102.24,3.408,,,,,,,,,,,,,,,,
29,86L,G1,-,BB_216,5,,,,1.452333333,,,,,,1,0,0,,,2,8,8,10.88,1.36,1,10,10,16.04,1.604,4,36,30,41.79,1.393,,,,,,,,,,,,,,,,
29,86R,G2,X,BB_190,3,,,,3.773,,,,,,,,,,,,,,,,,,,,,5,15,15,41.34,2.756,3,5,5,23.95,4.79,,,,,,,,,,,
29,87L,G1,-,BB_060,5,,,,2.856166667,,,,,,,,,,,6,12,12,26.34,2.195,,,,,,40,206,30,105.52,3.517333333,,,,,,,,,,,,,,,,
29,87R,G1,-,BB_052,1,,,,3.561305556,,,,,,,,,,,9,24,24,58.59,2.44125,3,6,6,15.5,2.583333333,58,167,30,169.78,5.659333333,,,,,,,,,,,,,,,,
30,88L,G1,-,BB_127,5,,,,4.409807692,,,,,,,,,,,,,,,,,,,,,2,13,13,36.85,2.834615385,2,4,4,23.94,5.985,,,,,,,,,,,
30,90L,G1,-,BB_074,2,,,,3.131134921,,,,,,1,0,0,,,,,,,,4,28,28,84.59,3.021071429,17,117,30,93.22,3.107333333,19,71,30,97.95,3.265,,,,,,,,,,,
30,90R,G1,-,BB_084,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,91L,G1,-,BB_020,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,91R,G1,-,BB_094,2,,,,3.522857143,,,,,,,,,,,,,,,,4,7,7,24.66,3.522857143,2,0,0,,,,,,,,,,,,,,,,,,
31,92L,G2,X,BB_019,3,,,,2.354444444,,,,,,,,,,,2,27,27,32.1,1.188888889,,,,,,3,20,20,70.4,3.52,,,,,,,,,,,,,,,,
31,92R,G2,X,BB_145,2,,,,1.945,,,,,,,,,,,,,,,,1,10,10,19.45,1.945,,,,,,,,,,,,,,,,,,,,,
31,93R,G2,X,BB_138,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,94L,G2,X,BB_039,1,,,,1.539732143,,,,,,,,,,,,,,,,3,16,16,19.74,1.23375,3,7,7,12.92,1.845714286,,,,,,,,,,,,,,,,
32,94R,G1,-,BB_119,2,,,,3.83,,,,,,,,,,,,,,,,4,14,14,53.62,3.83,,,,,,,,,,,,,,,,,,,,,
32,95R,G1,-,BB_151,3,,,,1.529761905,,,,,,,,,,,,,,,,3,28,28,55.24,1.972857143,2,9,9,9.78,1.086666667,,,,,,,,,,,,,,,,
32,96L,G1,-,BB_044,4,,,,1.955,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,7.82,1.955,,,,,,,,,,,
32,96R,G2,X,BB_207,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,97L,G1,-,BB_078,3,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
33,97R,G1,-,BB_163,4,,,,3.7275,,,,,,,,,,,1,0,0,,,5,4,4,18.34,4.585,1,1,1,2.87,2.87,,,,,,,,,,,,,,,,
33,98R,G1,-,BB_192,5,,,,4.042916667,,,,,,,,,,,,,,,,,,,,,5,24,24,97.03,4.042916667,,,,,,,,,,,,,,,,
34,100L,G1,-,BB_049,5,,,,2.455,,,,,,,,,,,,,,,,2,2,2,4.91,2.455,,,,,,,,,,,,,,,,,,,,,
34,100R,G2,X,BB_135,2,,,,2.758585859,,,,,,,,,,,,,,,,3,11,11,30.13,2.739090909,4,24,24,61.76,2.573333333,3,6,6,17.78,2.963333333,,,,,,,,,,,
34,101L,G1,-,BB_004,4,,,,3.8025,,,,,,,,,,,,,,,,3,7,7,25.13,3.59,3,14,14,56.21,4.015,,,,,,,,,,,,,,,,
34,101R,G2,X,BB_210,2,,,,3.724333333,,,,,,,,,,,,,,,,9,30,30,75.46,2.515333333,3,3,3,14.8,4.933333333,,,,,,,,,,,,,,,,
34,102L,G1,-,BB_037,2,,,,9.114285714,,,,,,,,,,,,,,,,,,,,,2,7,7,63.8,9.114285714,,,,,,,,,,,,,,,,
34,102R,G1,-,BB_201,1,,,,4.28,,,,,,,,,,,,,,,,1,3,3,12.84,4.28,,,,,,,,,,,,,,,,,,,,,
35,103L,G2,X,BB_021,2,,,,2.494320707,,,,,,,,,,,1,9,9,20.6,2.288888889,4,41,30,63.57,2.119,14,151,30,70.7,2.356666667,2,11,11,35.34,3.212727273,,,,,,,,,,,
35,103R,G2,X,BB_148,3,,,,4.464666667,,,,,,,,,,,,,,,,14,53,30,110.38,3.679333333,7,11,11,57.75,5.25,,,,,,,,,,,,,,,,
35,104L,G1,-,BB_119,4,,,,3.326666667,,,,,,,,,,,1,12,12,14.26,1.188333333,,,,,,2,24,24,88.12,3.671666667,1,1,1,5.12,5.12,,,,,,,,,,,
35,104R,G1,-,BB_019,4,,,,3.075888889,,,,,,,,,,,,,,,,10,63,30,68.93,2.297666667,2,6,6,19.83,3.305,3,8,8,29,3.625,,,,,,,,,,,
35,105L,G2,X,BB_046,5,,,,3.170952381,,,,,,,,,,,,,,,,4,21,21,60.66,2.888571429,2,6,6,20.72,3.453333333,,,,,,,,,,,,,,,,
35,105R,G1,-,BB_008,1,,,,5.24362963,,,,,,,,,,,,,,,,28,85,30,131.06,4.368666667,8,18,18,75.01,4.167222222,2,2,2,14.39,7.195,,,,,,,,,,,
36,106L,G2,X,BB_185,3,,,,2.19,,,,,,,,,,,,,,,,4,16,16,35.04,2.19,2,0,0,,,,,,,,,,,,,,,,,,
36,106R,G1,-,BB_046,3,,,,3.792241379,,,,,,,,,,,,,,,,8,29,29,68.57,2.364482759,1,3,3,15.66,5.22,,,,,,,,,,,,,,,,
36,107L,G1,-,BB_010,1,,,,2.25,,,,,,,,,,,,,,,,,,,,,1,2,2,4.5,2.25,,,,,,,,,,,,,,,,
36,107R,G1,-,BB_159,3,,,,9.29,,,,,,,,,,,,,,,,,,,,,1,3,3,27.87,9.29,,,,,,,,,,,,,,,,
36,108L,G2,X,BB_101,3,,,,2.84525,,,,,,,,,,,,,,,,2,8,8,15.62,1.9525,1,5,5,18.69,3.738,,,,,,,,,,,,,,,,
36,108R,G1,-,BB_154,1,,,,1.985,,,,,,,,,,,1,2,2,3.97,1.985,,,,,,,,,,,,,,,,,,,,,,,,,,
37,109L,G1,-,BB_158,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,109R,G1,-,BB_018,3,,,,1.689666667,,,,,,1,0,0,,,1,0,0,,,5,48,30,50.69,1.689666667,1,0,0,,,,,,,,,,,,,,,,,,
37,110L,G2,X,BB_153,5,,,,1.221666667,,,,,,,,,,,,,,,,2,3,3,5.41,1.803333333,1,2,2,1.28,0.64,,,,,,,,,,,,,,,,
37,110R,G1,-,BB_077,5,,,,5.756666667,,,,,,,,,,,1,0,0,,,3,3,3,17.27,5.756666667,,,,,,,,,,,,,,,,,,,,,
37,111L,G1,-,BB_205,4,,,,3.495,,,,,,,,,,,,,,,,4,24,24,83.88,3.495,,,,,,,,,,,,,,,,,,,,,
37,111R,G2,X,BB_121,5,,,,2.705166667,,,,,,,,,,,,,,,,5,33,30,49.11,1.637,2,3,3,11.32,3.773333333,,,,,,,,,,,,,,,,
38,112L,G1,-,BB_063,2,,,,2.648111111,,,,,,,,,,,,,,,,3,15,15,28.31,1.887333333,3,9,9,30.68,3.408888889,,,,,,,,,,,,,,,,
38,112R,G1,-,BB_087,5,,,,2.2475,,,,,,,,,,,,,,,,1,2,2,2.96,1.48,2,2,2,6.03,3.015,,,,,,,,,,,,,,,,
38,113L,G1,-,BB_147,2,,,,3.428043478,,,,,,,,,,,,,,,,4,23,23,79.49,3.456086957,1,4,4,13.6,3.4,,,,,,,,,,,,,,,,
38,113R,G1,-,BB_147,2,,,,2.391724138,,,,,,,,,,,,,,,,2,1,1,3.02,3.02,7,29,29,51.14,1.763448276,,,,,,,,,,,,,,,,
38,114L,G1,-,BB_089,5,,,,3.119882353,,,,,,,,,,,1,10,10,25.71,2.571,12,85,30,103.83,3.461,3,17,17,56.57,3.327647059,,,,,,,,,,,,,,,,
38,114R,G1,-,BB_116,3,,,,2.266666667,,,,,,,,,,,,,,,,2,0,0,,,1,6,6,13.6,2.266666667,,,,,,,,,,,,,,,,
39,115L,G1,-,BB_088,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,115R,G1,-,BB_133,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,116L,G1,-,BB_034,2,,,,1.68,,,,,,,,,,,,,,,,,,,,,2,8,8,13.44,1.68,,,,,,,,,,,,,,,,
39,116R,G1,-,BB_046,4,,,,1.51125,,,,,,,,,,,,,,,,4,4,4,5.51,1.3775,1,6,6,9.87,1.645,,,,,,,,,,,,,,,,
39,117L,G1,-,BB_039,5,,,,3.822222222,,,,,,,,,,,7,0,0,,,2,3,3,18.44,6.146666667,1,1,1,1.01,1.01,1,2,2,8.62,4.31,,,,,,,,,,,
39,117R,G1,-,BB_164,3,,,,3.042,,,,,,,,,,,,,,,,2,5,5,15.21,3.042,,,,,,,,,,,,,,,,,,,,,
40,118L,G2,X,BB_029,5,,,,1.47,,,,,,,,,,,,,,,,1,1,1,1.47,1.47,,,,,,,,,,,,,,,,,,,,,
40,118R,G1,-,BB_025,4,,,,1.659,,,,,,,,,,,,,,,,2,5,5,10.14,2.028,1,1,1,1.29,1.29,,,,,,,,,,,,,,,,
40,119L,G2,X,BB_051,1,,,,4.1872,,,,,,,,,,,1,0,0,,,7,25,25,104.68,4.1872,,,,,,,,,,,,,,,,,,,,,
40,119R,G1,-,BB_021,3,,,,4.07,,,,,,,,,,,,,,,,,,,,,11,68,30,122.1,4.07,,,,,,,,,,,,,,,,
40,120L,G1,-,BB_054,2,,,,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,13.06,6.53,,,,,,,,,,,
40,120R,G1,-,BB_183,5,,,,2.559,,,,,,,,,,,,,,,,8,48,30,78.44,2.614666667,3,6,6,15.02,2.503333333,,,,,,,,,,,,,,,,
41,121L,G1,-,BB_189,3,,,,1.99,,,,,,,,,,,,,,,,5,4,4,7.96,1.99,1,0,0,,,,,,,,,,,,,,,,,,
41,121R,G2,X,BB_132,2,,,,4.14,,,,,,,,,,,,,,,,1,5,5,20.7,4.14,,,,,,,,,,,,,,,,,,,,,
41,122L,G1,-,BB_187,5,,,,1.67,,,,,,,,,,,,,,,,,,,,,3,6,6,10.02,1.67,,,,,,,,,,,,,,,,
41,122R,G2,X,BB_134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,123L,G1,-,BB_113,4,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,123R,G1,-,BB_080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,124L,G1,-,BB_151,5,,,,2.416,,,,,,,,,,,,,,,,,,,,,1,5,5,12.08,2.416,,,,,,,,,,,,,,,,
42,125L,G1,-,BB_149,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,125R,G2,X,BB_109,1,,,,3.746277778,,,,,,,,,,,,,,,,6,47,30,73.29,2.443,10,43,30,149.25,4.975,3,12,12,45.85,3.820833333,,,,,,,,,,,
42,126R,G2,X,BB_189,2,,,,2.035,,,,,,2,0,0,,,,,,,,,,,,,2,6,6,12.21,2.035,,,,,,,,,,,,,,,,
43,127L,G1,-,BB_120,5,,,,2.142083333,,,,,,,,,,,,,,,,3,6,6,16.09,2.681666667,1,4,4,6.41,1.6025,3,0,0,,,,,,,,,,,,,
43,127R,G1,-,BB_039,2,,,,2.1125,,,,,,,,,,,,,,,,4,20,20,42.25,2.1125,,,,,,,,,,,,,,,,,,,,,
43,128L,G1,-,BB_010,3,,,,7.195,,,,,,5,0,0,,,,,,,,3,2,2,14.39,7.195,,,,,,,,,,,,,,,,,,,,,
43,128R,G1,-,BB_206,1,,,,3.54325,,,,,,,,,,,,,,,,3,4,4,13.25,3.3125,2,5,5,18.87,3.774,,,,,,,,,,,,,,,,
43,129L,G1,-,BB_040,2,,,,4.931666667,,,,,,,,,,,,,,,,4,6,6,29.59,4.931666667,,,,,,,,,,,,,,,,,,,,,
43,129R,G1,-,BB_089,1,,,,2.64625,,,,,,,,,,,,,,,,,,,,,4,16,16,42.34,2.64625,,,,,,,,,,,,,,,,
44,130L,G1,-,BB_027,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,130R,G1,-,BB_152,1,,,,4.759644928,,,,,,,,,,,,,,,,6,34,30,131.17,4.372333333,6,23,23,118.38,5.146956522,,,,,,,,,,,,,,,,
44,131L,G1,-,BB_138,5,,,,2.093924242,,,,,,,,,,,,,,,,3,22,22,53.2,2.418181818,5,30,30,53.09,1.769666667,,,,,,,,,,,,,,,,
44,131R,G1,-,BB_114,1,,,,1.795,,,,,,,,,,,,,,,,,,,,,4,10,10,17.95,1.795,,,,,,,,,,,,,,,,
44,132L,G2,X,BB_148,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,132R,G1,-,BB_199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,133L,G2,X,BB_053,1,,,,3.03525,,,,,,,,,,,,,,,,1,6,6,21.69,3.615,4,20,20,49.11,2.4555,,,,,,,,,,,,,,,,
45,133R,G2,X,BB_039,5,,,,5.723333333,,,,,,,,,,,1,9,9,37.26,4.14,3,14,14,78.89,5.635,2,4,4,29.58,7.395,,,,,,,,,,,,,,,,
45,134L,G1,-,BB_200,1,,,,4.055333333,,,,,,,,,,,,,,,,2,3,3,8.36,2.786666667,2,5,5,26.62,5.324,,,,,,,,,,,,,,,,
45,134R,G1,-,BB_110,5,,,,6.350166667,,,,,,,,,,,4,14,14,84.53,6.037857143,11,28,28,161.97,5.784642857,3,5,5,36.14,7.228,,,,,,,,,,,,,,,,
45,135L,G2,X,BB_135,1,,,,3.138287037,,,,,,,,,,,2,9,9,26.59,2.954444444,3,18,18,78.51,4.361666667,2,8,8,16.79,2.09875,,,,,,,,,,,,,,,,
45,135R,G2,X,BB_013,4,,,,4.869107143,,,,,,,,,,,,,,,,,,,,,3,14,14,84.78,6.055714286,2,4,4,14.73,3.6825,,,,,,,,,,,
46,136L,G2,X,BB_088,3,,,,4.9,,,,,,,,,,,,,,,,,,,,,1,1,1,4.9,4.9,,,,,,,,,,,,,,,,
46,137L,G2,X,BB_193,4,,,,4.44575,,,,,,4,5,5,17.83,3.566,1,14,14,65.73,4.695,2,13,12,56.64,4.72,4,37,30,144.06,4.802,,,,,,,,,,,,,,,,
46,137R,G1,-,BB_109,4,,,,3.767703704,,,,,,3,9,9,16.51,1.834444444,,,,,,7,36,30,133.01,4.433666667,1,2,2,10.07,5.035,,,,,,,,,,,,,,,,
46,138L,G1,-,BB_137,2,,,,5.794,,,,,,,,,,,,,,,,,,,,,8,35,30,173.82,5.794,,,,,,,,,,,,,,,,
46,138R,G1,-,BB_117,4,,,,5.605384615,,,,,,,,,,,,,,,,,,,,,4,13,13,72.87,5.605384615,,,,,,,,,,,,,,,,
47,139L,G1,-,BB_209,2,,,,3.031,,,,,,,,,,,,,,,,15,114,30,92.95,3.098333333,6,36,30,88.91,2.963666667,,,,,,,,,,,,,,,,
47,139R,G2,X,BB_105,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
47,140L,G2,X,BB_134,2,,,,4.4709,,,,,,,,,,,,,,,,16,83,30,92.67,3.089,9,25,25,146.32,5.8528,,,,,,,,,,,,,,,,
47,140R,G1,-,BB_186,1,,,,1.53,,,,,,,,,,,,,,,,1,1,1,1.53,1.53,,,,,,,,,,,,,,,,,,,,,
47,141L,G1,-,BB_134,3,,,,5.043541667,,,,,,,,,,,,,,,,3,8,8,40.91,5.11375,2,3,3,14.92,4.973333333,,,,,,,,,,,,,,,,
47,141R,G2,X,BB_138,4,,,,2.710478261,,,,,,,,,,,,,,,,2,23,23,86.64,3.766956522,2,15,15,24.81,1.654,,,,,,,,,,,,,,,,
48,142R,G2,X,BB_200,5,,,,,,,,,,,,,,,,,,,,,,,,,4,13,,,,,,,,,,,,,,,,,,,
48,143L,G1,-,BB_045,3,,,,3.449375,,,,,,,,,,,1,0,0,,,,,,,,3,16,16,55.19,3.449375,,,,,,,,,,,,,,,,
48,143R,G1,-,BB_009,3,,,,3.745970696,,,,,,1,0,0,,,2,13,13,21.37,1.643846154,,,,,,3,21,21,122.81,5.848095238,,,,,,,,,,,,,,,,
48,144L,G1,-,BB_054,4,,,,5.504375,,,,,,,,,,,,,,,,,,,,,6,16,16,109.9,6.86875,2,6,6,24.84,4.14,,,,,,,,,,,
49,145L,G1,-,BB_043,1,,,,1.383666667,,,,,,,,,,,,,,,,6,37,30,41.51,1.383666667,,,,,,,,,,,,,,,,,,,,,
49,146L,G1,-,BB_085,4,,,,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,12.24,6.12,,,,,,,,,,,
49,147L,G1,-,BB_208,3,,,,3.757315789,,,,,,1,0,0,,,,,,,,4,19,19,69.21,3.642631579,3,5,5,19.36,3.872,,,,,,,,,,,,,,,,
49,147R,G2,X,BB_054,3,,,,2.776363636,,,,,,,,,,,,,,,,,,,,,4,11,11,30.54,2.776363636,,,,,,,,,,,,,,,,
50,148L,G1,-,BB_145,2,,,,3.461,,,,,,,,,,,,,,,,,,,,,24,123,30,103.83,3.461,,,,,,,,,,,,,,,,
50,148R,G2,X,BB_146,5,,,,2.805555556,,,,,,,,,,,,,,,,3,12,12,25.28,2.106666667,3,23,23,49.91,2.17,1,2,2,8.28,4.14,,,,,,,,,,,
50,149L,G1,-,BB_126,1,,,,3.268,,,,,,,,,,,,,,,,2,10,10,25.86,2.586,1,1,1,3.95,3.95,,,,,,,,,,,,,,,,
50,149R,G2,X,BB_157,2,,,,3.26,,,,,,,,,,,,,,,,,,,,,2,14,14,45.64,3.26,,,,,,,,,,,,,,,,
50,150L,G1,-,BB_059,1,,,,3.606492063,,,,,,,,,,,,,,,,2,7,7,28.33,4.047142857,11,64,30,103.57,3.452333333,3,15,15,49.8,3.32,,,,,,,,,,,
51,151L,G1,-,BB_044,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,151R,G2,X,BB_189,3,,,,3.479666667,,,,,,,,,,,,,,,,,,,,,12,80,30,104.39,3.479666667,,,,,,,,,,,,,,,,
51,152R,G2,X,BB_088,5,,,,12.3175,,,,,,,,,,,,,,,,1,2,2,22.33,11.165,1,1,1,13.47,13.47,,,,,,,,,,,,,,,,
51,153L,G1,-,BB_002,1,,,,4.94,,,,,,,,,,,,,,,,2,2,2,9.88,4.94,,,,,,,,,,,,,,,,,,,,,
51,153R,G1,-,BB_145,3,,,,4.063072727,,,,,,,,,,,,,,,,3,25,25,100.29,4.0116,3,11,11,45.26,4.114545455,,,,,,,,,,,,,,,,
52,154R,G2,X,BB_111,1,,,,6.461111111,,,,,,,,,,,,,,,,2,9,9,64.76,7.195555556,6,18,18,125.6,6.977777778,2,6,6,31.26,5.21,,,,,,,,,,,
52,155L,G2,X,BB_206,4,,,,2.049396135,,,,,,,,,,,,,,,,5,23,23,49.09,2.134347826,4,18,18,35.36,1.964444444,,,,,,,,,,,,,,,,
52,155R,G1,-,BB_143,5,,,,3.189925926,,,,,,2,18,18,15.62,0.867777778,,,,,,5,54,30,110.76,3.692,,,,,,1,7,7,35.07,5.01,,,,,,,,,,,
52,156L,G2,X,BB_190,3,,,,5.18125,,,,,,,,,,,,,,,,,,,,,3,8,8,41.45,5.18125,,,,,,,,,,,,,,,,
52,156R,G1,-,BB_007,5,,,,4.35325,,,,,,,,,,,,,,,,,,,,,10,20,20,87.73,4.3865,2,2,2,8.64,4.32,,,,,,,,,,,
53,157L,G2,X,BB_020,4,,,,2.5515,,,,,,,,,,,,,,,,1,2,2,5.51,2.755,,,,,,5,5,5,11.74,2.348,,,,,,,,,,,
53,158L,G2,X,BB_116,2,,,,2.167075758,,,,,,,,,,,,,,,,1,3,3,11.65,3.883333333,6,11,11,4.959,0.450818182,,,,,,,,,,,,,,,,
53,158R,G1,-,BB_192,2,,,,6.174638889,,,,,,1,0,0,,,,,,,,18,101,30,161.46,5.382,10,42,30,157.82,5.260666667,2,8,8,63.05,7.88125,,,,,,,,,,,
53,159L,G1,-,BB_104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,159R,G1,-,BB_146,2,,,,4.467958333,,,,,,,,,,,,,,,,,,,,,6,40,30,98.84,3.294666667,1,8,8,45.13,5.64125,,,,,,,,,,,
54,160L,G1,-,BB_064,5,,,,4.852083333,,,,,,,,,,,,,,,,11,24,24,116.45,4.852083333,,,,,,,,,,,,,,,,,,,,,
54,160R,G2,X,BB_114,4,,,,4.081363636,,,,,,1,4,4,24.46,6.115,2,11,11,25.84,2.349090909,1,0,0,,,2,1,1,3.78,3.78,,,,,,,,,,,,,,,,
54,161L,G2,X,BB_060,2,,,,4.908,,,,,,1,0,0,,,1,5,5,24.54,4.908,,,,,,,,,,,,,,,,,,,,,,,,,,
54,161R,G1,-,BB_037,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,162L,G1,-,BB_101,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,162R,G1,-,BB_048,4,,,,3.978,,,,,,,,,,,2,5,5,19.23,3.846,1,5,5,20.55,4.11,,,,,,,,,,,,,,,,,,,,,
55,163L,G1,-,BB_211,5,,,,4.100361111,,,,,,,,,,,,,,,,3,30,30,81.74,2.724666667,8,34,30,170.78,5.692666667,3,16,16,62.14,3.88375,,,,,,,,,,,"was orignally 20 filled, recounted at 16 when weighing SRA"
55,163R,G1,-,BB_114,2,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,
55,164L,G2,X,BB_143,4,,,,3.543402778,,,,,,,,,,,,,,,,3,8,8,21.77,2.72125,2,9,9,39.29,4.365555556,,,,,,,,,,,,,,,,
55,164R,G1,-,BB_079,3,,,,2.852,,,,,,,,,,,,,,,,6,58,30,95.07,3.169,1,6,6,15.21,2.535,,,,,,,,,,,,,,,,
55,165R,G1,-,BB_092,2,,,,2.38,,,,,,,,,,,,,,,,,,,,,2,2,2,4.76,2.38,,,,,,,,,,,,,,,,
56,166L,G1,-,BB_074,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,167L,G2,X,BB_131,1,,,,3.555,,,,,,,,,,,,,,,,2,4,4,14.22,3.555,,,,,,,,,,,,,,,,,,,,,
56,167R,G1,-,BB_059,3,,,,4.52,,,,,,,,,,,,,,,,2,1,1,5.55,5.55,3,5,5,17.45,3.49,,,,,,,,,,,,,,,,
56,168L,G1,-,BB_109,3,,,,2.39,,,,,,,,,,,,0,0,,,2,1,1,2.39,2.39,2,0,0,,,,,,,,,,,,,,,,,,
56,168R,G1,-,BB_030,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,169L,G2,X,BB_103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,169R,G2,X,BB_117,1,,,,6.596666667,,,,,,,,,,,,,,,,2,3,3,19.79,6.596666667,,,,,,,,,,,,,,,,,,,,,
57,170L,G1,-,BB_117,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,170R,G2,X,BB_076,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,171L,G1,-,BB_118,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,171R,G1,-,BB_030,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,172L,G1,-,BB_211,4,,,,4.268611111,,,,,,,,,,,,,,,,2,6,6,25.12,4.186666667,12,52,30,147.95,4.931666667,6,12,12,44.25,3.6875,,,,,,,,,,,
58,172R,G1,-,BB_056,1,,,,4.7992,,,,,,,,,,,,,,,,,,,,,17,25,25,119.98,4.7992,,,,,,,,,,,,,,,,
