"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,,The average of the weekly mean seed mass,Collection Date: 2023-05-12,,,,,Collection Date: 2023-05-26,,,,,Collection Date: 2023-06-08,,,,,Collection Date: 2023-06-22,,,,,Collection Date: NA,,,,
Sequence,Transect,Segment,Gen,Sym,Recipient,Fit_plant,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-12,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-26,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-08,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-22,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA
115,4,8R,G2,X,AC_057,2,2.545416667,,,,,,4,6,6,14.06,2.343333333,2,4,4,10.99,2.7475,,,,,,,,,,
116,4,9L,G1,-,AC_147,1,1.986666667,,,,,,2,3,3,5.96,1.986666667,,,,,,,,,,,,,,,
116,4,9R,G1,-,AC_186,2,1.302666667,,,,,,4,15,15,19.54,1.302666667,,,,,,,,,,,,,,,
117,4,10L,G2,X,AC_083,1,2.295,,,,,,7,4,4,9.18,2.295,,,,,,,,,,,,,,,
117,4,10R,G2,X,AC_110,3,1.3475,,,,,,5,4,4,5.39,1.3475,,,,,,,,,,,,,,,
118,4,11L,G1,-,AC_058,3,3.15,,,,,,6,4,4,12.6,3.15,,,,,,,,,,,,,,,
118,4,11R,G2,X,AC_204,3,1.8375,,,,,,7,2,2,1.49,0.745,1,1,1,2.93,2.93,,,,,,,,,,
119,4,12L,G2,X,AC_054,5,0.603333333,,,,,,1,6,6,3.62,0.603333333,,,,,,,,,,,,,,,
119,4,12R,G1,-,AC_128,3,,,,,,,,,,,,,,,,,,,,,,,,,,
120,4,13L,G1,-,AC_168,4,1.72,,,,,,1,6,6,10.32,1.72,,,,,,,,,,,,,,,
120,4,13R,G2,X,AC_070,4,1.547857143,,,,,,4,7,7,9.91,1.415714286,1,3,3,5.04,1.68,,,,,,,,,,
121,4,14L,G2,X,AC_072,3,1.38,,,,,,3,1,1,1.38,1.38,,,,,,,,,,,,,,,
121,4,14R,G2,X,AC_151,4,3.91875,,,,,,5,4,4,9.95,2.4875,1,1,1,5.35,5.35,,,,,,,,,,
122,4,15L,G2,X,AC_099,3,1.612,,,,,,1,5,5,8.06,1.612,,,,,,,,,,,,,,,
123,4,16L,G1,-,AC_048,3,1.83,,,,,,2,4,4,7.32,1.83,,,,,,,,,,,,,,,
123,4,16R,G1,-,AC_160,5,1.014347826,,,,,,7,23,23,23.33,1.014347826,,,,,,,,,,,,,,,
124,4,17L,G1,-,AC_068,3,2.61,,,,,,4,6,6,15.66,2.61,,,,,,,,,,,,,,,
124,4,17R,G2,X,AC_109,3,2.636666667,,,,,,5,12,12,26.26,2.188333333,1,2,2,6.17,3.085,,,,,,,,,,
125,4,18L,G2,X,AC_011,4,1.916666667,,,,,,2,2,2,3.46,1.73,1,3,3,6.31,2.103333333,,,,,,,,,,
125,4,18R,G1,-,AC_088,4,2.075151515,,,,,,4,11,11,22.92,2.083636364,2,3,3,6.2,2.066666667,,,,,,,,,,
126,4,19L,G2,X,AC_055,3,1.41,,,,,,4,2,2,2.82,1.41,,,,,,,,,,,,,,,
126,4,19R,G1,-,AC_017,3,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
127,4,20L,G1,-,AC_203,1,1.865,,,,,,4,10,10,18.65,1.865,,,,,,,,,,,,,,,
127,4,20R,G2,X,AC_030,3,2.81,,,,,,4,8,8,18.88,2.36,1,1,1,3.26,3.26,,,,,,,,,,
128,4,21L,G2,X,AC_160,2,2.1525,,,,,,4,4,4,8.61,2.1525,,,,,,,,,,,,,,,
128,4,21R,G2,X,AC_195,4,0.72,,,,,,4,5,5,3.6,0.72,,,,,,,,,,,,,,,
129,4,22L,G1,-,AC_005,1,1.54125,,,,,,3,8,8,12.33,1.54125,,,,,,,,,,,,,,,
129,4,22R,G2,X,AC_172,4,1.925833333,,,,,,5,12,12,23.11,1.925833333,,,,,,,,,,,,,,,
130,4,23R,G1,-,AC_120,5,2.557142857,,,,,,5,7,7,17.9,2.557142857,1,0,0,,,,,,,,,,,,
131,4,24L,G1,-,AC_123,4,3.95,,,,,,2,4,4,15.8,3.95,2,0,0,,,,,,,,,,,,
132,4,25R,G1,-,AC_130,3,2.6675,,,,,,3,8,8,21.34,2.6675,1,0,0,,,,,,,,,,,,
133,4,26L,G1,-,AC_100,4,1.135714286,,,,,,3,7,7,7.95,1.135714286,,,,,,,,,,,,,,,
133,4,26R,G2,X,AC_051,2,0.965,,,,,,1,2,2,1.93,0.965,,,,,,,,,,,,,,,
134,4,27L,G1,-,AC_208,4,2.24,,,,,,3,7,7,15.68,2.24,,,,,,,,,,,,,,,
134,4,27R,G2,X,AC_040,5,1.73875,,,,,,3,8,8,13.91,1.73875,,,,,,,,,,,,,,,
135,4,28L,G1,-,AC_070,2,,,,,,,,,,,,,,,,,,,,,,,,,,
135,4,28R,G1,-,AC_040,3,2.245,,,,,,2,2,2,4.49,2.245,,,,,,,,,,,,,,,
136,4,29L,G1,-,AC_203,3,,,,,,,,,,,,,,,,,,,,,,,,,,
136,4,29R,G1,-,AC_216,5,3.94,,,,,,1,1,1,3.94,3.94,,,,,,,,,,,,,,,
137,4,30L,G2,X,AC_143,5,,,,,,,,,,,,,,,,,,,,,,,,,,
137,4,30R,G1,-,AC_204,4,,,,,,,,,,,,,,,,,,,,,,,,,,
138,4,31L,G2,X,AC_095,1,0.992,,,,,,2,5,5,4.96,0.992,,,,,,,,,,,,,,,
138,4,31R,G2,X,AC_068,1,,,,,,,,,,,,,,,,,,,,,,,,,,
139,4,32L,G2,X,AC_179,5,2.115,,,,,,4,2,2,4.23,2.115,1,0,0,,,,,,,,,,,,
139,4,32R,G2,X,AC_190,1,2.146,,,,,,2,5,5,10.73,2.146,,,,,,,,,,,,,,,
140,4,33L,G2,X,AC_118,3,1.32,,,,,,1,2,2,2.64,1.32,,,,,,,,,,,,,,,
140,4,33R,G2,X,AC_064,3,,,,,,,,,,,,,,,,,,,,,,,,,,
141,4,34L,G2,X,AC_147,1,,,,,,,,,,,,,,,,,,,,,,,,,,
141,4,34R,G2,X,AC_131,3,,,,,,,,,,,,,,,,,,,,,,,,,,
142,4,35R,G1,-,AC_062,3,1.613809524,,,,,,4,21,21,33.89,1.613809524,,,,,,,,,,,,,,,
143,4,36L,G2,X,AC_159,5,1.602,,,,,,1,5,5,8.01,1.602,,,,,,,,,,,,,,,
143,4,36R,G2,X,AC_159,5,1.8075,,,,,,1,4,4,7.23,1.8075,,,,,,,,,,,,,,,
144,5,1L,G1,-,AC_109,2,,,,,,,5,0,0,,,,,,,,,,,,,,,,,
144,5,1R,G1,-,AC_153,1,2.47,,,,,,6,3,3,7.41,2.47,,,,,,,,,,,,,,,
145,5,2L,G1,-,AC_200,5,,,,,,,3,0,0,,,,,,,,,,,,,,,,,
145,5,2R,G1,-,AC_171,2,4.32,,,,,,3,0,0,,,1,1,1,4.32,4.32,,,,,,,,,,
146,5,3L,G2,X,AC_128,5,2.052333333,,,,,,4,3,3,4.13,1.376666667,1,5,5,13.64,2.728,,,,,,,,,,
146,5,3R,G2,X,AC_046,2,1.496180556,,,,,,4,9,9,14.59,1.621111111,3,8,8,10.97,1.37125,,,,,,,,,,
147,5,4L,G1,-,AC_058,2,1.657403846,,,,,,9,24,24,31.74,1.3225,4,13,13,25.9,1.992307692,,,,,,,,,,
147,5,4R,G1,-,AC_195,5,1.111666667,,,,,,6,31,30,33.35,1.111666667,,,,,,,,,,,,,,,
148,5,5L,G2,X,AC_208,5,2.436666667,,,,,,1,3,3,5.05,1.683333333,1,1,1,3.19,3.19,,,,,,,,,,
148,5,5R,G2,X,AC_178,5,1.425833333,,,,,,6,6,6,8.47,1.411666667,5,6,6,8.64,1.44,,,,,,,,,,
149,5,6R,G2,X,AC_010,5,1.75,,,,,,2,1,1,1.94,1.94,4,3,3,4.68,1.56,,,,,,,,,,
150,5,7L,G1,-,AC_068,2,1.54725,,,,,,2,8,8,17.06,2.1325,3,5,5,4.81,0.962,,,,,,,,,,
150,5,7R,G2,X,AC_188,2,,,,,,,,,,,,,,,,,,,,,,,,,,
151,5,8L,G1,-,AC_206,5,3.98,,,,,,3,1,1,3.98,3.98,,,,,,,,,,,,,,,
151,5,8R,G2,X,AC_032,4,,,,,,,,,,,,,,,,,,,,,,,,,,
152,5,9L,G2,X,AC_111,1,,,,,,,,,,,,,,,,,,,,,,,,,,
152,5,9R,G1,-,AC_056,4,2.283333333,,,,,,3,3,3,6.85,2.283333333,1,0,0,,,,,,,,,,,,
153,5,10L,G1,-,AC_217,3,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
153,5,10R,G1,-,AC_064,5,1.7725,,,,,,5,16,16,28.36,1.7725,,,,,,,,,,,,,,,
154,5,11L,G2,X,AC_064,3,1.645875,,,,,,6,10,10,15.23,1.523,5,8,8,14.15,1.76875,,,,,,,,,,
154,5,11R,G1,-,AC_070,2,1.093333333,,,,,,2,3,3,3.28,1.093333333,,,,,,,,,,,,,,,
155,5,12R,G1,-,AC_142,3,,,,,,,,,,,,,,,,,,,,,,,,,,
156,5,13L,G2,X,AC_153,2,,,,,,,,,,,,,,,,,,,,,,,,,,
157,5,14L,G2,X,AC_128,2,,,,,,,,,,,,,,,,,,,,,,,,,,
157,5,14R,G1,-,AC_040,2,2.100833333,,,,,,2,6,6,13.99,2.331666667,2,2,2,3.74,1.87,,,,,,,,,,
158,5,15L,G1,-,AC_104,1,,,,,,,,,,,,,,,,,,,,,,,,,,
158,5,15R,G1,-,AC_005,3,,,,,,,,,,,,,,,,,,,,,,,,,,
159,5,16L,G1,-,AC_030,1,1.653333333,,,,,,4,12,12,19.84,1.653333333,,,,,,,,,,,,,,,
159,5,16R,G2,X,AC_048,5,1.441,,,,,,4,10,10,14.41,1.441,,,,,,,,,,,,,,,
160,5,17L,G1,-,AC_144,1,1.189166667,,,,,,2,12,12,14.27,1.189166667,,,,,,,,,,,,,,,
160,5,17R,G1,-,AC_213,4,3.27,,,,,,1,2,2,6.54,3.27,,,,,,,,,,,,,,,
161,5,18L,G1,-,AC_115,3,2.813333333,,,,,,4,3,3,8.44,2.813333333,2,0,0,,,,,,,,,,,,
161,5,18R,G2,X,AC_090,2,,,,,,,,,,,,,,,,,,,,,,,,,,
162,5,19L,G2,X,AC_109,4,2.38,,,,,,3,2,2,4.76,2.38,,,,,,,,,,,,,,,
162,5,19R,G1,-,AC_090,4,2.59,,,,,,2,1,1,2.59,2.59,1,0,0,,,,,,,,,,,,
163,5,20L,G2,X,AC_192,4,1.41875,,,,,,1,4,4,7.27,1.8175,3,1,1,1.02,1.02,,,,,,,,,,
163,5,20R,G2,X,AC_205,2,4.55,,,,,,3,1,1,4.55,4.55,,,,,,,,,,,,,,,
164,5,21L,G1,-,AC_097,5,2.022,,,,,,3,5,5,10.11,2.022,,,,,,,,,,,,,,,
164,5,21R,G2,X,AC_182,1,3.86,,,,,,2,0,0,,,1,1,1,3.86,3.86,,,,,,,,,,
165,5,22L,G1,-,AC_160,4,,,,,,,,,,,,,,,,,,,,,,,,,,
165,5,22R,G2,X,AC_204,3,,,,,,,,,,,,,,,,,,,,,,,,,,
166,5,23L,G1,-,AC_155,4,,,,,,,,,,,,,,,,,,,,,,,,,,
167,5,24L,G2,X,AC_192,4,2.533333333,,,,,,1,3,3,7.6,2.533333333,,,,,,,,,,,,,,,
167,5,24R,G1,-,AC_046,4,0.962,,,,,,1,5,5,4.81,0.962,,,,,,,,,,,,,,,
168,5,25L,G2,X,AC_181,2,,,,,,,,,,,,,,,,,,,,,,,,,,
168,5,25R,G2,X,AC_123,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
169,5,26L,G2,X,AC_215,2,,,,,,,1,0,0,,,2,3,,,,,,,,,,,,,
169,5,26R,G1,-,AC_095,4,,,,,,,,,,,,,,,,,,,,,,,,,,
170,5,27L,G2,X,AC_142,5,0.65,,,,,,2,7,7,4.55,0.65,,,,,,,,,,,,,,,
170,5,27R,G2,X,AC_206,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
171,5,28L,G2,X,AC_120,3,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
171,5,28R,G2,X,AC_171,4,,,,,,,,,,,,,,,,,,,,,,,,,,
172,5,29L,G1,-,AC_185,4,1.425,,,,,,1,4,4,5.7,1.425,,,,,,,,,,,,,,,
172,5,29R,G1,-,AC_147,1,1.935,,,,,,2,4,4,7.74,1.935,,,,,,,,,,,,,,,
173,5,30L,G1,-,AC_130,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
173,5,30R,G1,-,AC_058,1,3.99,,,,,,2,2,2,7.98,3.99,,,,,,,,,,,,,,,
174,5,31L,G1,-,AC_159,5,,,,,,,,,,,,,,,,,,,,,,,,,,
174,5,31R,G2,X,AC_158,3,,,,,,,,,,,,,,,,,,,,,,,,,,
175,5,32L,G1,-,AC_011,2,,,,,,,,,,,,,,,,,,,,,,,,,,
176,5,33L,G1,-,AC_114,2,2.276666667,,,,,,1,3,3,6.83,2.276666667,,,,,,,,,,,,,,,
176,5,33R,G1,-,AC_100,5,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
177,5,34L,G1,-,AC_153,3,1.206,,,,,,7,35,30,36.18,1.206,,,,,,,,,,,,,,,
177,5,34R,G2,X,AC_081,3,2.117142857,,,,,,1,7,7,14.82,2.117142857,,,,,,,,,,,,,,,
178,5,35L,G2,X,AC_216,3,,,,,,,,,,,,,,,,,,,,,,,,,,
178,5,35R,G2,X,AC_168,3,1.658333333,,,,,,2,6,6,9.95,1.658333333,,,,,,,,,,,,,,,
179,5,36L,G1,-,AC_205,1,2.496,,,,,,4,5,5,12.48,2.496,,,,,,,,,,,,,,,
179,5,36R,G1,-,AC_034,3,1.665,,,,,,4,10,10,16.65,1.665,,,,,,,,,,,,,,,
180,6,1L,G1,-,AC_083,5,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
180,6,1R,G2,X,AC_016,2,1.098,,,,,,4,0,0,,,1,0,0,,,2,5,5,5.49,1.098,,,,,
181,6,2L,G1,-,AC_115,5,1.862962963,,,,,,4,9,9,13.85,1.538888889,1,1,1,2.78,2.78,1,1,1,1.27,1.27,,,,,
181,6,2R,G2,X,AC_160,4,2.0235,,,,,,8,20,20,30.89,1.5445,3,4,4,10.01,2.5025,1,0,0,,,,,,,
182,6,3R,G1,-,AC_120,3,2.080588235,,,,,,7,17,17,35.37,2.080588235,,,,,,,,,,,,,,,
183,6,4L,G1,-,AC_099,1,1.08,,,,,,4,9,9,9.72,1.08,,,,,,,,,,,,,,,
183,6,4R,G1,-,AC_131,4,2.08,,,,,,4,7,7,14.56,2.08,,,,,,,,,,,,,,,
184,6,5L,G2,X,AC_110,3,,,,,,,,,,,,,,,,,,,,,,,,,,
184,6,5R,G1,-,AC_054,5,2.9195,,,,,,5,5,5,16.22,3.244,4,2,2,5.19,2.595,,,,,,,,,,
185,6,6L,G1,-,AC_104,2,,,,,,,,,,,,,,,,,,,,,,,,,,
185,6,6R,G1,-,AC_171,2,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
186,6,7L,G1,-,AC_185,3,1.04225,,,,,,4,10,10,12.92,1.292,2,4,4,3.17,0.7925,,,,,,,,,,
187,6,8L,G1,-,AC_187,2,1.747692308,,,,,,4,13,13,22.72,1.747692308,4,13,,,,,,,,,,,,,
188,6,9L,G2,X,AC_136,2,1.831,,,,,,8,20,20,29.44,1.472,3,3,3,6.57,2.19,,,,,,,,,,
189,6,10L,G2,X,AC_187,4,1.065,,,,,,2,14,14,14.91,1.065,,,,,,,,,,,,,,,
190,6,11L,G1,-,AC_111,5,,,,,,,,,,,,,,,,,,,,,,,,,,
190,6,11R,G1,-,AC_095,5,0.74,,,,,,4,13,13,9.62,0.74,,,,,,,,,,,,,,,
192,6,13R,G1,-,AC_122,5,,,,,,,,,,,,,,,,,,,,,,,,,,
193,6,14L,G2,X,AC_197,1,,,,,,,2,0,0,,,,,,,,,,,,,,,,,
193,6,14R,G2,X,AC_120,3,1.686,,,,,,4,5,5,8.43,1.686,,,,,,,,,,,,,,,
194,6,15L,G2,X,AC_213,3,1.635,,,,,,3,6,6,9.81,1.635,,,,,,,,,,,,,,,
194,6,15R,G1,-,AC_158,5,,,,,,,,,,,,,,,,,,,,,,,,,,
195,6,16L,G1,-,AC_109,4,1.57,,,,,,1,1,1,1.57,1.57,,,,,,,,,,,,,,,
196,6,17L,G1,-,AC_172,3,1.655,,,,,,1,2,2,3.31,1.655,,,,,,,,,,,,,,,
196,6,17R,G2,X,AC_143,3,0.981,,,,,,2,10,10,9.81,0.981,,,,,,,,,,,,,,,
197,6,18R,G1,-,AC_099,2,,,,,,,,,,,,,,,,,,,,,,,,,,
198,6,19R,G1,-,AC_066,5,0.87,,,,,,2,3,3,2.61,0.87,,,,,,,,,,,,,,,
199,6,20L,G1,-,AC_172,4,0.934,,,,,,1,5,5,4.67,0.934,,,,,,,,,,,,,,,
199,6,20R,G2,X,AC_142,4,1.574,,,,,,5,5,5,7.87,1.574,1,0,0,,,,,,,,,,,,
200,6,21L,G2,X,AC_171,4,,,,,,,,,,,,,,,,,,,,,,,,,,
200,6,21R,G2,X,AC_199,5,,,,,,,2,0,0,,,,,,,,,,,,,,,,,
201,6,22R,G1,-,AC_193,3,,,,,,,,,,,,,,,,,,,,,,,,,,
202,6,23L,G2,X,AC_115,1,2.098333333,,,,,,3,10,10,29.73,2.973,17,39,30,36.71,1.223666667,,,,,,,,,,
202,6,23R,G1,-,AC_062,5,1.5075,,,,,,2,4,4,6.03,1.5075,,,,,,,,,,,,,,,
203,6,24R,G1,-,AC_189,3,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
204,6,25L,G2,X,AC_090,1,,,,,,,,,,,,,,,,,,,,,,,,,,
204,6,25R,G1,-,AC_055,5,1.829954545,4,5,5,8.37,1.674,6,22,22,43.69,1.985909091,,,,,,,,,,,,,,,
205,6,26R,G2,X,AC_208,1,,1,0,0,,,,,,,,,,,,,,,,,,,,,,
206,6,27L,G2,X,AC_182,2,2.327142857,,,,,,2,7,7,16.29,2.327142857,,,,,,,,,,,,,,,
206,6,27R,G1,-,AC_130,5,1.585714286,,,,,,1,7,7,11.1,1.585714286,,,,,,,,,,,,,,,
207,6,28L,G2,X,AC_016,2,,,,,,,,,,,,,,,,,,,,,,,,,,
207,6,28R,G2,X,AC_131,5,1.487,,,,,,4,10,10,14.87,1.487,,,,,,,,,,,,,,,
208,6,29L,G2,X,AC_086,2,1.465,,,,,,2,2,2,2.93,1.465,,,,,,,,,,,,,,,
208,6,29R,G2,X,AC_186,1,0.5325,,,,,,2,4,4,2.13,0.5325,,,,,,,,,,,,,,,
209,6,30L,G2,X,AC_052,3,0.97,3,3,3,2.91,0.97,,,,,,,,,,,,,,,,,,,,
209,6,30R,G2,X,AC_158,5,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
210,6,31L,G2,X,AC_034,3,1.108333333,,,,,,1,6,6,6.65,1.108333333,,,,,,,,,,,,,,,
210,6,31R,G1,-,AC_171,5,0.976,1,5,5,6.06,1.212,1,1,1,0.74,0.74,,,,,,,,,,,,,,,
212,6,33R,G1,-,AC_182,3,,,,,,,,,,,,,,,,,,,,,,,,,,
213,6,34L,G1,-,AC_128,1,,,,,,,,,,,,,,,,,,,,,,,,,,
213,6,34R,G2,X,AC_147,4,,,,,,,,,,,,,,,,,,,,,,,,,,
214,6,35R,G1,-,AC_118,5,,,,,,,,,,,,,,,,,,,,,,,,,,
215,7,1L,G1,-,AC_142,3,,,,,,,,,,,,,,,,,,,,,,,,,,
216,7,2L,G2,X,AC_072,5,,,,,,,3,0,0,,,,,,,,,,,,,,,,,
216,7,2R,G1,-,AC_110,5,0.494,,,,,,4,5,5,2.47,0.494,1,0,0,,,,,,,,,,,,
217,7,3L,G2,X,AC_191,5,1.37,,,,,,6,5,5,6.85,1.37,3,0,0,,,,,,,,,,,,
217,7,3R,G2,X,AC_070,1,0.59,,,,,,5,2,2,1.18,0.59,1,0,0,,,,,,,,,,,,
218,7,4L,G2,X,AC_187,2,,,,,,,,,,,,,,,,,,,,,,,,,,
218,7,4R,G1,-,AC_201,5,1.59,,,,,,5,3,3,4.77,1.59,,,,,,,,,,,,,,,
220,7,6L,G2,X,AC_172,2,,,,,,,,,,,,,,,,,,,,,,,,,,
220,7,6R,G1,-,AC_095,3,2.13875,,,,,,5,8,8,17.11,2.13875,,,,,,,,,,,,,,,
221,7,7L,G1,-,AC_056,3,2.378333333,,,,,,21,63,30,56.21,1.873666667,7,10,10,28.83,2.883,,,,,,,,,,
221,7,7R,G1,-,AC_055,3,1.698666667,,,,,,7,15,15,26.42,1.761333333,2,5,5,8.18,1.636,,,,,,,,,,
222,7,8L,G2,X,AC_211,1,1.53,,,,,,5,14,14,21.84,1.56,1,1,1,1.5,1.5,,,,,,,,,,
222,7,8R,G2,X,AC_199,4,0.811666667,,,,,,4,6,6,4.87,0.811666667,,,,,,,,,,,,,,,
223,7,9L,G1,-,AC_052,3,,,,,,,,,,,,,,,,,,,,,,,,,,
223,7,9R,G2,X,AC_204,4,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
224,7,10L,G1,-,AC_074,4,1.224,,,,,,1,5,5,6.12,1.224,,,,,,,,,,,,,,,
224,7,10R,G1,-,AC_179,5,1.011538462,,,,,,5,13,13,13.15,1.011538462,,,,,,,,,,,,,,,
225,7,11R,G2,X,AC_200,3,1.491583333,,,,,,7,31,30,29.87,0.995666667,1,4,4,7.95,1.9875,,,,,,,,,,
226,7,12L,G1,-,AC_017,2,0.785,,,,,,3,2,2,1.57,0.785,,,,,,,,,,,,,,,
226,7,12R,G2,X,AC_056,1,0.805,,,,,,4,10,10,8.05,0.805,,,,,,,,,,,,,,,
227,7,13L,G2,X,AC_216,2,2.778,,,,,,11,5,5,13.89,2.778,1,0,0,,,,,,,,,,,,
228,7,14L,G1,-,AC_048,4,,,,,,,,,,,,,,,,,,,,,,,,,,
228,7,14R,G2,X,AC_189,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
229,7,15R,G2,X,AC_122,2,1.328333333,,,,,,5,6,6,7.97,1.328333333,,,,,,,,,,,,,,,
230,7,16L,G2,X,AC_217,1,2.543,,,,,,7,10,10,25.43,2.543,,,,,,,,,,,,,,,
231,7,17R,G1,-,AC_066,5,0.553333333,,,,,,2,3,3,1.66,0.553333333,,,,,,,,,,,,,,,
233,7,19R,G2,X,AC_155,2,2.637142857,,,,,,4,14,14,22.88,1.634285714,1,1,1,3.64,3.64,,,,,,,,,,
234,7,20L,G2,X,AC_110,5,1.171333333,,,,,,7,34,30,35.14,1.171333333,,,,,,,,,,,,,,,
235,7,21R,G2,X,AC_017,3,2.1,,,,,,1,2,2,4.2,2.1,,,,,,,,,,,,,,,
236,7,22L,G2,X,AC_051,1,2.46,,,,,,1,2,2,4.92,2.46,,,,,,,,,,,,,,,
236,7,22R,G2,X,AC_086,5,1.345294118,,,,,,4,17,17,22.87,1.345294118,1,0,0,,,,,,,,,,,,
237,7,23L,G2,X,AC_104,1,1.664285714,,,,,,2,7,7,11.65,1.664285714,,,,,,,,,,,,,,,
237,7,23R,G2,X,AC_057,2,1.725,,,,,,1,2,2,3.45,1.725,,,,,,,,,,,,,,,
238,7,24L,G1,-,AC_218,5,,,,,,,,,,,,,,,,,,,,,,,,,,
238,7,24R,G2,X,AC_081,1,1.34,,,,,,1,2,2,2.68,1.34,,,,,,,,,,,,,,,
239,7,25L,G1,-,AC_114,2,,,,,,,,,,,,,,,,,,,,,,,,,,
240,7,26R,G1,-,AC_092,5,,,,,,,,,,,,,,,,,,,,,,,,,,
241,7,27R,G2,X,AC_017,5,1.497647059,,,,,,4,17,17,25.46,1.497647059,,,,,,,,,,,,,,,
242,7,28L,G1,-,AC_151,1,,,,,,,,,,,,,,,,,,,,,,,,,,
242,7,28R,G2,X,AC_189,2,0.957,,,,,,1,10,10,9.57,0.957,,,,,,,,,,,,,,,
243,7,29L,G2,X,AC_178,4,,,,,,,,,,,,,,,,,,,,,,,,,,
243,7,29R,G1,-,AC_216,5,1.476666667,,,,,,3,9,9,13.29,1.476666667,,,,,,,,,,,,,,,
244,7,30L,G2,X,AC_096,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
245,7,31L,G2,X,AC_114,2,0.776,,,,,,2,15,15,11.64,0.776,,,,,,,,,,,,,,,
245,7,31R,G2,X,AC_123,3,1.325,,,,,,2,4,4,5.3,1.325,,,,,,,,,,,,,,,
246,7,32L,G2,X,AC_083,2,1.32,,,,,,1,2,2,2.64,1.32,,,,,,,,,,,,,,,
246,7,32R,G2,X,AC_034,2,0.753333333,,,,,,1,3,3,2.26,0.753333333,,,,,,,,,,,,,,,
247,7,33L,G2,X,AC_216,5,,,,,,,,,,,,,,,,,,,,,,,,,,
247,7,33R,G1,-,AC_075,4,0.73,,,,,,,,,,,1,2,2,1.46,0.73,,,,,,,,,,
248,7,34L,G1,-,AC_107,5,,,,,,,,,,,,,,,,,,,,,,,,,,
248,7,34R,G1,-,AC_082,1,,,,,,,,,,,,,,,,,,,,,,,,,,
249,7,35L,G1,-,AC_097,5,1.027777778,,,,,,3,9,9,9.25,1.027777778,,,,,,,,,,,,,,,
249,7,35R,G2,X,AC_211,1,0.785,,,,,,2,2,2,1.57,0.785,,,,,,,,,,,,,,,
250,7,36L,G2,X,AC_052,3,1.801428571,,,,,,1,7,7,12.61,1.801428571,,,,,,,,,,,,,,,
250,7,36R,G2,X,AC_030,5,3.235,,,,,,1,2,2,6.5,3.25,1,2,2,6.44,3.22,,,,,,,,,,
251,8,1L,G2,X,AC_193,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
251,8,1R,G1,-,AC_011,5,,,,,,,2,0,0,,,1,0,0,,,,,,,,,,,,
252,8,2L,G2,X,AC_038,4,,,,,,,3,0,0,,,,,,,,,,,,,,,,,
252,8,2R,G2,X,AC_191,1,1.505714286,,,,,,8,14,14,16.68,1.191428571,4,2,2,3.64,1.82,,,,,,,,,,
253,8,3L,G2,X,AC_148,4,,,,,,,2,0,0,,,,,,,,,,,,,,,,,
253,8,3R,G1,-,AC_038,2,2.37,,,,,,3,2,2,4.74,2.37,,,,,,,,,,,,,,,
254,8,4R,G2,X,AC_089,3,1.715928571,,,,,,6,7,7,14.79,2.112857143,2,10,10,13.19,1.319,,,,,,,,,,
255,8,5L,G1,-,AC_131,5,,,,,,,,,,,,,,,,,,,,,,,,,,
255,8,5R,G2,X,AC_218,1,1.486857143,,,,,,8,7,7,12.57,1.795714286,4,5,5,5.89,1.178,,,,,,,,,,
256,8,6L,G1,-,AC_206,1,0.9625,,,,,,2,12,12,11.55,0.9625,,,,,,,,,,,,,,,
256,8,6R,G1,-,AC_186,2,1.032777778,,,,,,5,18,18,18.59,1.032777778,,,,,,,,,,,,,,,
