"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,TOTAL COUNTS (To be summed after all data entered),,,,,Derived,,Collection Date: 2023-03-30,,,,Collection Date: 2023-04-12,,,,Collection Date: 2023-04-26,,,,Collection Date: 2023-05-10,,,,Collection Date: 2023-05-24,,,,Collection Date: 2023-06-07,,,,Collection Date: 2023-06-21,,,,Collection Date: NA,,,,Notes:
35,103L,G2,X,BB_021,2,21,0,212,230,21,10.0952381,212,,,,,,,,,1,,9,12,4,,41,53,14,,151,154,2,,11,11,,,,,,,,,
35,103R,G2,X,BB_148,3,21,0,64,74,21,3.047619048,64,,,,,,,,,,,,,14,,53,55,7,,11,19,,,,,,,,,,,,,
35,104L,G1,-,BB_119,4,4,0,37,42,4,9.25,37,,,,,,,,,1,,12,13,,,,,2,,24,28,1,,1,1,,,,,,,,,
35,104R,G1,-,BB_019,4,15,4,77,104,19,5.133333333,97.53333333,,,,,,,,,,,,,10,2,63,89,2,,6,6,3,2,8,9,,,,,,,,,
35,105L,G2,X,BB_046,5,6,0,27,29,6,4.5,27,,,,,,,,,,,,,4,,21,23,2,,6,6,,,,,,,,,,,,,
35,105R,G1,-,BB_008,1,38,4,105,105,42,2.763157895,116.0526316,,,,,,,,,,,,,28,,85,85,8,2,18,18,2,2,2,2,,,,,,,,,
36,106L,G2,X,BB_185,3,6,1,16,21,7,2.666666667,18.66666667,,,,,,,,,,,,,4,1,16,18,2,,0,3,,,,,,,,,,,,,
36,106R,G1,-,BB_046,3,9,0,32,33,9,3.555555556,32,,,,,,,,,,,,,8,,29,30,1,,3,3,,,,,,,,,,,,,
36,107L,G1,-,BB_010,1,1,1,2,2,2,2,4,,,,,,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,
36,107R,G1,-,BB_159,3,1,4,3,3,5,3,15,,,,,,,,,,,,,,,,,1,4,3,3,,,,,,,,,,,,,
36,108L,G2,X,BB_101,3,3,0,13,13,3,4.333333333,13,,,,,,,,,,,,,2,,8,8,1,,5,5,,,,,,,,,,,,,
36,108R,G1,-,BB_154,1,1,0,2,3,1,2,2,,,,,,,,,1,,2,3,,,,,,,,,,,,,,,,,,,,,
37,109L,G1,-,BB_158,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,109R,G1,-,BB_018,3,7,6,48,73,13,6.857142857,89.14285714,,,,,1,,0,1,,,,,5,5,48,58,1,1,0,14,,,,,,,,,,,,,
37,110L,G2,X,BB_153,5,3,0,5,6,3,1.666666667,5,,,,,,,,,,,,,2,,3,4,1,,2,2,,,,,,,,,,,,,
37,110R,G1,-,BB_077,5,4,0,3,7,4,0.75,3,,,,,,,,,1,,0,3,3,,3,4,,,,,,,,,,,,,,,,,
37,111L,G1,-,BB_205A,4,4,0,24,24,4,6,24,,,,,,,,,,,,,4,,24,24,,,,,,,,,,,,,,,,,
37,111R,G2,X,BB_121,5,7,0,37,41,7,5.285714286,37,,,,,,,,,,,,,5,,34,38,2,,3,3,,,,,,,,,,,,,
38,112L,G1,-,BB_063,2,6,2,24,30,8,4,32,,,,,,,,,,,,,3,1,15,21,3,1,9,9,,,,,,,,,,,,,
38,112R,G1,-,BB_087,5,3,6,4,4,9,1.333333333,12,,,,,,1,,,,,,,1,1,2,2,2,4,2,2,,,,,,,,,,,,,
38,113L,G1,-,BB_147,2,5,1,27,27,6,5.4,32.4,,,,,,,,,,,,,4,1,23,23,1,,4,4,,,,,,,,,,,,,formerly BB_147A
38,113R,G1,-,BB_147,2,9,1,30,44,10,3.333333333,33.33333333,,,,,,,,,,,,,2,1,1,5,7,,29,39,,,,,,,,,,,,,formerly BB_147B
38,114L,G1,-,BB_089,5,16,1,112,117,17,7,119,,,,,,,,,1,,10,10,12,,85,90,3,1,17,17,,,,,,,,,,,,,
38,114R,G1,-,BB_116,3,3,0,6,12,3,2,6,,,,,,,,,,,,,2,,0,6,1,,6,6,,,,,,,,,,,,,
39,115L,G1,-,BB_088,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,115R,G1,-,BB_133,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,116L,G1,-,BB_034,2,2,3,8,8,5,4,20,,,,,,,,,,,,,,,,,2,3,8,8,,,,,,,,,,,,,
39,116R,G1,-,BB_046,4,5,0,10,16,5,2,10,,,,,,,,,,,,,4,,4,10,1,,6,6,,,,,,,,,,,,,
39,117L,G1,-,BB_039,5,5,1,6,16,6,1.2,7.2,,,,,,,,,1,,0,7,2,,3,6,1,1,1,1,1,,2,2,,,,,,,,,
39,117R,G1,-,BB_164,3,2,0,5,8,2,2.5,5,,,,,,,,,,,,,2,,5,8,,,,,,,,,,,,,,,,,
40,118L,G2,X,BB_029,5,1,0,1,4,1,1,1,,,,,,,,,,,,,1,,1,4,,,,,,,,,,,,,,,,,
40,118R,G1,-,BB_025,4,3,0,6,11,3,2,6,,,,,,,,,,,,,2,,5,8,1,,1,3,,,,,,,,,,,,,
40,119L,G2,X,BB_051,1,8,1,25,27,9,3.125,28.125,,,,,,1,,,1,,0,2,7,,25,25,,,,,,,,,,,,,,,,,
40,119R,G1,-,BB_021,3,11,2,68,71,13,6.181818182,80.36363636,,,,,,,,,,,,,,,,,11,2,68,71,,,,,,,,,,,,,
40,120L,G1,-,BB_054,2,1,0,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,1,,2,2,,,,,,,,,
40,120R,G1,-,BB_183,5,11,0,54,58,11,4.909090909,54,,,,,,,,,,,,,8,,48,50,3,,6,8,,,,,,,,,,,,,
41,121L,G1,-,BB_189,3,6,0,4,6,6,0.6666666667,4,,,,,,,,,,,,,5,,4,4,1,,0,2,,,,,,,,,,,,,
41,121R,G2,X,BB_132,2,1,0,5,5,1,5,5,,,,,,,,,,,,,1,,5,5,,,,,,,,,,,,,,,,,
41,122L,G1,-,BB_187,5,3,0,6,7,3,2,6,,,,,,,,,,,,,,,,,3,,6,7,,,,,,,,,,,,,
41,122R,G2,X,BB_134,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,123L,G1,-,BB_113,4,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
41,123R,G1,-,BB_080,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,124L,G1,-,BB_151,5,1,0,5,6,1,5,5,,,,,,,,,,,,,,,,,1,,5,6,,,,,,,,,,,,,
42,125L,G1,-,BB_149,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,125R,G2,X,BB_109,1,20,0,108,118,20,5.4,108,,,,,,,,,,,,,6,,47,55,11,,49,51,3,,12,12,,,,,,,,,
42,126R,G2,X,BB_189,2,2,0,6,6,2,3,6,,,,,,,,,,,,,,,,,2,,6,6,,,,,,,,,,,,,
43,127L,G1,-,BB_120,5,7,1,10,15,8,1.428571429,11.42857143,,,,,,,,,,,,,3,1,6,8,1,,4,5,3,,0,2,,,,,,,,,
43,127R,G1,-,BB_039,2,4,0,20,27,4,5,20,,,,,,,,,,,,,4,,20,27,,,,,,,,,,,,,,,,,
43,128L,G1,-,BB_010,3,8,0,2,7,8,0.25,2,,,,,5,,0,4,,,,,3,,2,3,,,,,,,,,,,,,,,,,
43,128R,G1,-,BB_206,1,5,1,9,15,6,1.8,10.8,,,,,,,,,,,,,3,,4,10,2,1,5,5,,,,,,,,,,,,,
43,129L,G1,-,BB_040,2,4,1,6,7,5,1.5,7.5,,,,,,1,,,,,,,4,,6,7,,,,,,,,,,,,,,,,,
43,129R,G1,-,BB_089,1,4,0,16,16,4,4,16,,,,,,,,,,,,,,,,,4,,16,16,,,,,,,,,,,,,
44,130L,G1,-,BB_027,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,130R,G1,-,BB_152,1,12,0,57,57,12,4.75,57,,,,,,,,,,,,,6,,34,34,6,,23,23,,,,,,,,,,,,,
44,131L,G1,-,BB_138,5,8,0,52,53,8,6.5,52,,,,,,,,,,,,,3,,22,22,5,,30,31,,,,,,,,,,,,,
44,131R,G1,-,BB_114,1,4,0,10,11,4,2.5,10,,,,,,,,,,,,,,,,,4,,10,11,,,,,,,,,,,,,
44,132L,G2,X,BB_148,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,132R,G1,-,BB_199,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,133L,G2,X,BB_053,1,5,0,26,26,5,5.2,26,,,,,,,,,,,,,1,,6,6,4,,20,20,,,,,,,,,,,,,
45,133R,G2,X,BB_039,5,6,2,27,27,8,4.5,36,,,,,,1,,,1,,9,9,3,,14,14,2,1,4,4,,,,,,,,,,,,,
45,134L,G1,-,BB_200,1,4,0,8,13,4,2,8,,,,,,,,,,,,,2,,3,8,2,,5,5,,,,,,,,,,,,,
45,134R,G1,-,BB_110,5,18,5,47,50,23,2.611111111,60.05555556,,,,,,,,,4,,14,15,11,,28,30,3,5,5,5,,,,,,,,,,,,,
45,135L,G2,X,BB_135,1,7,2,35,38,9,5,45,,,,,,,,,2,,9,10,3,2,18,18,2,,8,10,,,,,,,,,,,,,
45,135R,G2,X,BB_013,4,5,0,18,20,5,3.6,18,,,,,,,,,,,,,,,,,3,,14,15,2,,4,5,,,,,,,,,
46,136L,G2,X,BB_088,3,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,
46,137L,G2,X,BB_193,4,11,2,69,71,13,6.272727273,81.54545455,,,,,4,,5,6,1,,14,14,2,,13,14,4,2,37,37,,,,,,,,,,,,,
46,137R,G1,-,BB_109,4,11,0,47,55,11,4.272727273,47,,,,,3,,9,13,,,,,7,,36,39,1,,2,3,,,,,,,,,,,,,
46,138L,G1,-,BB_137,2,8,0,35,36,8,4.375,35,,,,,,,,,,,,,,,,,8,,35,36,,,,,,,,,,,,,
46,138R,G1,-,BB_117,4,4,1,13,16,5,3.25,16.25,,,,,,,,,,,,,,,,,4,1,13,16,,,,,,,,,,,,,
47,139L,G1,-,BB_209,2,21,2,150,154,23,7.142857143,164.2857143,,,,,,,,,,,,,15,,114,118,6,2,36,36,,,,,,,,,,,,,
47,139R,G2,X,BB_105,1,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,1,,0,0,,,,,,,,,,,,,
47,140L,G2,X,BB_134,2,25,4,108,118,29,4.32,125.28,,,,,,,,,,,,,16,4,83,92,9,,25,26,,,,,,,,,,,,,
47,140R,G1,-,BB_186,1,1,0,1,4,1,1,1,,,,,,,,,,,,,1,,1,4,,,,,,,,,,,,,,,,,
47,141L,G1,-,BB_134,3,5,0,11,11,5,2.2,11,,,,,,,,,,,,,3,,8,8,2,,3,3,,,,,,,,,,,,,
47,141R,G2,X,BB_138,4,4,2,38,38,6,9.5,57,,,,,,,,,,,,,2,,23,23,2,2,15,15,,,,,,,,,,,,,
48,142R,G2,X,BB_200,5,4,1,13,13,5,3.25,16.25,,,,,,,,,,,,,,,,,4,1,13,13,,,,,,,,,,,,,
48,143L,G1,-,BB_045,3,4,5,16,16,9,4,36,,,,,,,,,1,2,0,0,,,,,3,3,16,16,,,,,,,,,,,,,
48,143R,G1,-,BB_009,3,6,2,34,40,8,5.666666667,45.33333333,,,,,1,,0,0,2,,13,17,,,,,3,2,21,23,,,,,,,,,,,,,
48,144L,G1,-,BB_054,4,8,1,22,24,9,2.75,24.75,,,,,,,,,,,,,,,,,6,1,16,18,2,,6,6,,,,,,,,,
49,145L,G1,-,BB_043,1,6,0,37,37,6,6.166666667,37,,,,,,,,,,,,,6,,37,37,,,,,,,,,,,,,,,,,
49,146L,G1,-,BB_085,4,1,1,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,1,1,2,2,,,,,,,,,
49,147L,G1,-,BB_208,3,8,0,24,29,8,3,24,,,,,1,,0,5,,,,,4,,19,19,3,,5,5,,,,,,,,,,,,,
49,147R,G2,X,BB_054,3,4,0,11,14,4,2.75,11,,,,,,,,,,,,,,,,,4,,11,14,,,,,,,,,,,,,
50,148L,G1,-,BB_145,2,24,0,123,130,24,5.125,123,,,,,,,,,,,,,,,,,24,,123,130,,,,,,,,,,,,,
50,148R,G2,X,BB_146,5,7,0,37,38,7,5.285714286,37,,,,,,,,,,,,,3,,12,13,3,,23,23,1,,2,2,,,,,,,,,
50,149L,G1,-,BB_126,1,3,0,11,13,3,3.666666667,11,,,,,,,,,,,,,2,,10,12,1,,1,1,,,,,,,,,,,,,
50,149R,G2,X,BB_157,2,2,0,14,14,2,7,14,,,,,,,,,,,,,,,,,2,,14,14,,,,,,,,,,,,,
50,150L,G1,-,BB_059,1,16,0,86,86,16,5.375,86,,,,,,,,,,,,,2,,7,7,11,,64,64,3,,15,15,,,,,,,,,
51,151L,G1,-,BB_044,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,151R,G2,X,BB_189,3,12,0,80,82,12,6.666666667,80,,,,,,,,,,,,,,,,,12,,80,82,,,,,,,,,,,,,
51,152R,G2,X,BB_088,5,2,3,3,4,5,1.5,7.5,,,,,,,,,,,,,1,,2,2,1,3,1,2,,,,,,,,,,,,,
51,153L,G1,-,BB_002,1,2,0,2,3,2,1,2,,,,,,,,,,,,,2,,2,3,,,,,,,,,,,,,,,,,
51,153R,G1,-,BB_145,3,6,0,36,36,6,6,36,,,,,,,,,,,,,3,,25,25,3,,11,11,,,,,,,,,,,,,
52,154R,G2,X,BB_111,1,10,0,33,33,10,3.3,33,,,,,,,,,,,,,2,,9,9,6,,18,18,2,,6,6,,,,,,,,,
52,155L,G2,X,BB_206,4,9,1,41,42,10,4.555555556,45.55555556,,,,,,,,,,,,,5,1,23,23,4,,18,19,,,,,,,,,,,,,
52,155R,G1,-,BB_143,5,8,3,79,85,11,9.875,108.625,,,,,2,,18,24,,,,,5,,54,54,,,,,1,3,7,7,,,,,,,,,
52,156L,G2,X,BB_190,3,3,2,8,8,5,2.666666667,13.33333333,,,,,,,,,,,,,,,,,3,2,8,8,,,,,,,,,,,,,
52,156R,G1,-,BB_007,5,12,1,22,24,13,1.833333333,23.83333333,,,,,,,,,,,,,,,,,10,1,20,20,2,,2,4,,,,,,,,,
53,157L,G2,X,BB_020,4,6,0,7,8,6,1.166666667,7,,,,,,,,,,,,,1,,2,3,,,,,5,,5,5,,,,,,,,,
53,158L,G2,X,BB_116,2,7,0,14,16,7,2,14,,,,,,,,,,,,,1,,3,3,6,,11,13,,,,,,,,,,,,,
53,158R,G1,-,BB_192,2,31,1,151,157,32,4.870967742,155.8709677,,,,,1,,0,4,,,,,18,,101,101,10,,42,44,2,1,8,8,,,,,,,,,
53,159L,G1,-,BB_104,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,159R,G1,-,BB_146,2,7,0,48,48,7,6.857142857,48,,,,,,,,,,,,,,,,,6,,40,40,1,,8,8,,,,,,,,,
54,160L,G1,-,BB_064,5,11,1,24,24,12,2.181818182,26.18181818,,,,,,1,,,,,,,11,,24,24,,,,,,,,,,,,,,,,,
54,160R,G2,X,BB_114,4,6,3,16,17,9,2.666666667,24,,,,,1,,4,4,2,,11,12,1,,0,0,2,3,1,1,,,,,,,,,,,,,
54,161L,G2,X,BB_060,2,2,0,5,5,2,2.5,5,,,,,1,,0,0,1,,5,5,,,,,,,,,,,,,,,,,,,,,
54,161R,G1,-,BB_037,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,162L,G1,-,BB_101,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,162R,G1,-,BB_048,4,3,1,10,10,4,3.333333333,13.33333333,,,,,,,,,2,1,5,5,1,,5,5,,,,,,,,,,,,,,,,,
55,163L,G1,-,BB_211,5,14,3,84,101,17,6,102,,,,,,,,,,,,,3,1,30,35,8,1,34,42,3,1,20,24,,,,,,,,,
55,163R,G1,-,BB_114,2,2,0,0,0,2,0,0,,,,,,,,,,,,,,,,,2,,0,0,,,,,,,,,,,,,
55,164L,G2,X,BB_143,4,5,0,17,17,5,3.4,17,,,,,,,,,,,,,3,,8,8,2,,9,9,,,,,,,,,,,,,
55,164R,G1,-,BB_079,3,7,0,64,67,7,9.142857143,64,,,,,,,,,,,,,6,,58,61,1,,6,6,,,,,,,,,,,,,
55,165R,G1,-,BB_092,2,2,0,2,5,2,1,2,,,,,,,,,,,,,,,,,2,,2,5,,,,,,,,,,,,,
56,166L,G1,-,BB_074,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,167L,G2,X,BB_131,1,2,0,4,8,2,2,4,,,,,,,,,,,,,2,,4,8,,,,,,,,,,,,,,,,,
56,167R,G1,-,BB_059,3,5,0,6,9,5,1.2,6,,,,,,,,,,,,,2,,1,1,3,,5,8,,,,,,,,,,,,,
56,168L,G1,-,BB_109,3,5,0,1,10,5,0.2,1,,,,,,,,,1,,0,6,2,,1,4,2,,0,0,,,,,,,,,,,,,Entered '1' for clsoed fruit # when fruit count was not recorded (DG) 4/26
56,168R,G1,-,BB_030,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,169L,G2,X,BB_103,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,169R,G2,X,BB_117,1,2,0,3,6,2,1.5,3,,,,,,,,,,,,,2,,3,6,,,,,,,,,,,,,,,,,
57,170L,G1,-,BB_117,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,170R,G2,X,BB_076,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,171L,G1,-,BB_118,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,171R,G1,-,BB_030,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,172L,G1,-,BB_211,4,20,0,70,103,20,3.5,70,,,,,,,,,,,,,2,,6,15,12,,52,73,6,,12,15,,,,,,,,,
58,172R,G1,-,BB_056,1,17,4,25,35,21,1.470588235,30.88235294,,,,,,,,,,,,,,,,,17,4,25,35,,,,,,,,,,,,,
58,173L,G1,-,BB_093,2,1,1,4,4,2,4,8,,,,,,,,,,,,,,,,,1,1,4,4,,,,,,,,,,,,,
58,173R,G2,X,BB_145,4,7,0,8,12,7,1.142857143,8,,,,,2,,0,0,,,,,3,,7,10,2,,1,2,,,,,,,,,,,,,
58,174L,G2,X,BB_045,4,1,0,0,1,1,0,0,,,,,,,,,,,,,1,,0,1,,,,,,,,,,,,,,,,,
58,174R,G1,-,BB_027,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,175L,G2,X,BB_166,4,2,0,2,2,2,1,2,,,,,,,,,,,,,2,,2,2,,,,,,,,,,,,,,,,,
59,175R,G1,-,BB_013,1,3,0,2,9,3,0.6666666667,2,,,,,,,,,,,,,3,,2,9,,,,,,,,,,,,,,,,,
59,176L,G1,-,BB_019,1,6,0,0,0,6,0,0,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
59,177L,G2,X,BB_089,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,177R,G1,-,BB_199,4,1,0,2,4,1,2,2,,,,,,,,,,,,,,,,,,,,,1,,2,4,,,,,,,,,
60,178L,G1,-,BB_072,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,178R,G1,-,BB_170,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,179R,G2,X,BB_019,5,3,0,5,5,3,1.666666667,5,,,,,,,,,,,,,3,,5,5,,,,,,,,,,,,,,,,,
60,180R,G1,-,BB_172,5,3,0,5,5,3,1.666666667,5,,,,,,,,,,,,,3,,5,5,,,,,,,,,,,,,,,,,
61,181L,G2,X,BB_150,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,181R,G1,-,BB_210,4,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
61,182R,G1,-,BB_218,1,1,2,0,12,3,0,0,,,,,,1,,,,,,,1,,0,12,,1,,,,,,,,,,,,,,,
61,183L,G1,-,BB_133,2,17,0,84,91,17,4.941176471,84,,,,,,,,,,,,,3,,29,29,12,,50,56,2,,5,6,,,,,,,,,
62,184L,G2,X,BB_052,4,1,0,9,9,1,9,9,,,,,,,,,,,,,,,,,,,,,1,,9,9,,,,,,,,,
62,184R,G1,-,BB_161,1,9,8,20,28,17,2.222222222,37.77777778,,,,,3,,0,0,,,,,1,1,3,4,,,,,5,7,17,24,,,,,,,,,
62,185L,G1,-,BB_111,1,2,0,4,4,2,2,4,,,,,,,,,,,,,,,,,2,,4,4,,,,,,,,,,,,,
62,185R,G1,-,BB_058,3,1,0,0,0,1,0,0,,,,,,,,,,,,,1,,0,0,,,,,,,,,,,,,,,,,
62,186L,G2,X,BB_017,3,5,3,17,18,8,3.4,27.2,,,,,,,,,,,,,,,,,2,2,8,9,,,,,3,1,9,9,,,,,
62,186R,G1,-,BB_093,3,2,1,3,8,3,1.5,4.5,,,,,,1,,,,,,,,,,,,,,,,,,,2,,3,8,,,,,
63,187L,G2,X,BB_123,2,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,1,,0,0,,,,,,,,,,,,,
63,187R,G1,-,BB_131,3,5,0,8,8,5,1.6,8,,,,,4,,0,0,1,,8,8,,,,,,,,,,,,,,,,,,,,,
63,188R,G1,-,BB_208,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,189L,G1,-,BB_034,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,189R,G1,-,BB_210,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,190L,G1,-,BB_025,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
64,190R,G1,-,BB_052,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,191L,G1,-,BB_095,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,191R,G1,-,BB_086,4,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
64,192L,G1,-,BB_113,5,5,0,45,47,5,9,45,,,,,,,,,,,,,,,,,5,,45,47,,,,,,,,,,,,,
64,192R,G1,-,BB_016,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,193L,G1,-,BB_084,3,1,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,1,,0,2,,,,,,,,,
65,194L,G1,-,BB_077,2,2,0,6,8,2,3,6,,,,,,,,,,,,,,,,,2,,6,8,,,,,,,,,,,,,
65,195R,G1,-,BB_160,5,7,1,22,39,8,3.142857143,25.14285714,,,,,,,,,,,,,1,,0,0,6,,22,39,,1,,,,,,,,,,,
66,196L,G1,-,BB_185,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
66,197L,G2,X,BB_093,3,7,3,36,47,10,5.142857143,51.42857143,,,,,,1,,,,,,,3,,4,15,,2,,,,,,,4,,32,32,,,,,
66,197R,G1,-,BB_081,1,6,3,9,38,9,1.5,13.5,,,,,4,,2,28,,,,,1,3,0,0,1,,7,10,,,,,,,,,,,,,
66,198L,G1,-,BB_157,5,10,3,28,30,13,2.8,36.4,,,,,,,,,,,,,3,,10,10,,,,,7,3,18,20,,,,,,,,,
66,198R,G2,X,BB_205A,5,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
67,199L,G2,X,BB_160,1,4,1,31,31,5,7.75,38.75,,,,,,1,,,,,,,,,,,4,,31,31,,,,,,,,,,,,,
67,199R,G1,-,BB_193,1,1,0,1,6,1,1,1,,,,,,,,,,,,,,,,,1,,1,6,,,,,,,,,,,,,
67,200L,G1,-,BB_050,4,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,1,,0,1,,,,,,,,,,,,,
67,200R,G1,-,BB_201,2,10,6,30,33,16,3,48,,,,,2,,2,5,,,,,,,,,8,6,28,28,,,,,,,,,,,,,
67,201L,G1,-,BB_032,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,201R,G1,-,BB_150,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,202L,G1,-,BB_189,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,204L,G1,-,BB_024,2,3,1,0,1,4,0,0,,,,,,,,,,,,,1,,0,1,2,1,0,0,,,,,,,,,,,,,
68,204R,G1,-,BB_040,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,205L,G2,X,BB_131,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,205R,G1,-,BB_081,2,1,0,2,2,1,2,2,,,,,,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,,
69,206L,G1,-,BB_211,4,1,0,0,1,1,0,0,,,,,1,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
69,206R,G1,-,BB_079,5,4,0,7,11,4,1.75,7,1,,0,1,3,,7,10,,,,,,,,,,,,,,,,,,,,,,,,,
69,207L,G1,-,BB_054,2,1,0,2,2,1,2,2,,,,,,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,,
69,207R,G1,-,BB_120,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,209L,G1,-,BB_046,2,4,0,14,15,4,3.5,14,,,,,,,,,,,,,2,,10,11,1,,3,3,1,,1,1,,,,,,,,,
70,209R,G1,-,BB_063,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
