"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,,TOTAL COUNTS (To be summed after all data entered),,,,,Derived,,Collection Date: 2023-05-12,,,,Collection Date: 2023-05-26,,,,Collection Date: 2023-06-08,,,,Collection Date: 2023-06-22,,,,Collection Date: N/A,,,,
Sequence,Transect,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,avg_seeds_per_fruit,est_fecundity,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_closed_fruit_D2,N_open_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_closed_fruit_D3,N_open_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_closed_fruit_D4,N_open_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_closed_fruit_D5,N_open_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
112,4,5R,G1,-,AC_201,2,10,3,9,41,13,0.9,11.7,,,,,10,2,9,41,,1,,,,,,,,,,,
113,4,6L,G1,-,AC_179,4,6,1,9,16,7,1.5,10.5,,,,,5,1,5,12,1,,4,4,,,,,,,,,
113,4,6R,G2,X,AC_109,1,7,5,22,35,12,3.142857143,37.71428571,,,,,6,1,19,30,1,,3,5,,4,,,,,,,
114,4,7L,G2,X,AC_014,4,7,1,5,15,8,0.7142857143,5.714285714,,,,,6,,5,15,1,,0,0,,1,,,,,,,
114,4,7R,G1,-,AC_136,2,7,0,4,12,7,0.5714285714,4,,,,,6,,2,10,,,,,1,,2,2,,,,,
115,4,8L,G1,-,AC_168,2,1,1,2,3,2,2,4,,,,,1,1,2,3,,,,,,,,,,,,,
115,4,8R,G2,X,AC_057,2,6,2,10,15,8,1.666666667,13.33333333,,,,,4,2,6,10,2,,4,5,,,,,,,,,
116,4,9L,G1,-,AC_147,1,2,0,3,6,2,1.5,3,,,,,2,,3,6,,,,,,,,,,,,,
116,4,9R,G1,-,AC_186,2,4,1,15,21,5,3.75,18.75,,,,,4,1,15,21,,,,,,,,,,,,,
117,4,10L,G2,X,AC_083,1,7,4,4,19,11,0.5714285714,6.285714286,,,,,7,1,4,19,,3,,,,,,,,,,,
117,4,10R,G2,X,AC_110,3,5,1,4,19,6,0.8,4.8,,,,,5,1,4,19,,,,,,,,,,,,,
118,4,11L,G1,-,AC_058,3,6,2,4,35,8,0.6666666667,5.333333333,,,,,6,2,4,35,,,,,,,,,,,,,
118,4,11R,G2,X,AC_204,3,8,2,3,22,10,0.375,3.75,,,,,7,2,2,21,1,,1,1,,,,,,,,,
119,4,12L,G2,X,AC_054,5,1,1,6,8,2,6,12,,,,,1,1,6,8,,,,,,,,,,,,,
119,4,12R,G1,-,AC_128,3,0,11,0,0,11,#DIV/0!,#DIV/0!,,,,,,11,,,,,,,,,,,,,,,
120,4,13L,G1,-,AC_168,4,1,2,6,6,3,6,18,,,,,1,2,6,6,,,,,,,,,,,,,
120,4,13R,G2,X,AC_070,4,5,0,10,15,5,2,10,,,,,4,,7,12,1,,3,3,,,,,,,,,
121,4,14L,G2,X,AC_072,3,3,0,1,2,3,0.3333333333,1,,,,,3,,1,2,,,,,,,,,,,,,
121,4,14R,G2,X,AC_151,4,6,1,5,10,7,0.8333333333,5.833333333,,,,,5,1,4,8,1,,1,2,,,,,,,,,
122,4,15L,G2,X,AC_099,3,1,0,5,6,1,5,5,,,,,1,,5,6,,,,,,,,,,,,,
123,4,16L,G1,-,AC_048,3,2,0,4,5,2,2,4,,,,,2,,4,5,,,,,,,,,,,,,
123,4,16R,G1,-,AC_160,5,7,1,23,27,8,3.285714286,26.28571429,,,,,7,1,23,27,,,,,,,,,,,,,
124,4,17L,G1,-,AC_068,3,4,0,6,14,4,1.5,6,,,,,4,,6,14,,,,,,,,,,,,,
124,4,17R,G2,X,AC_109,3,6,1,14,16,7,2.333333333,16.33333333,,,,,5,1,12,14,1,,2,2,,,,,,,,,
125,4,18L,G2,X,AC_011,4,3,1,5,12,4,1.666666667,6.666666667,,,,,2,1,2,9,1,,3,3,,,,,,,,,
125,4,18R,G1,-,AC_088,4,6,4,14,23,10,2.333333333,23.33333333,,,,,4,4,11,17,2,,3,6,,,,,,,,,
126,4,19L,G2,X,AC_055,3,4,1,2,14,5,0.5,2.5,,,,,4,,2,14,,1,,,,,,,,,,,
126,4,19R,G1,-,AC_017,3,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
127,4,20L,G1,-,AC_203,1,4,2,10,10,6,2.5,15,,,,,4,2,10,10,,,,,,,,,,,,,
127,4,20R,G2,X,AC_030,3,5,0,9,10,5,1.8,9,,,,,4,,8,9,1,,1,1,,,,,,,,,
128,4,21L,G2,X,AC_160,2,4,4,4,12,8,1,8,,,,,4,4,4,12,,,,,,,,,,,,,
128,4,21R,G2,X,AC_195,4,4,2,6,16,6,1.5,9,,,,,4,,6,16,,2,,,,,,,,,,,
129,4,22L,G1,-,AC_005,1,3,0,8,8,3,2.666666667,8,,,,,3,,8,8,,,,,,,,,,,,,
129,4,22R,G2,X,AC_172,4,5,0,12,17,5,2.4,12,,,,,5,,12,17,,,,,,,,,,,,,
130,4,23R,G1,-,AC_120,5,6,0,7,11,6,1.166666667,7,,,,,5,,7,11,1,,0,0,,,,,,,,,
131,4,24L,G1,-,AC_123,4,4,1,4,11,5,1,5,,,,,2,1,4,6,2,,0,5,,,,,,,,,
132,4,25R,G1,-,AC_130,3,4,0,8,11,4,2,8,,,,,3,,8,11,1,,0,0,,,,,,,,,
133,4,26L,G1,-,AC_100,4,3,0,7,10,3,2.333333333,7,,,,,3,,7,10,,,,,,,,,,,,,
133,4,26R,G2,X,AC_051,2,1,1,2,3,2,2,4,,,,,1,1,2,3,,,,,,,,,,,,,
134,4,27L,G1,-,AC_208,4,3,0,7,8,3,2.333333333,7,,,,,3,,7,8,,,,,,,,,,,,,
134,4,27R,G2,X,AC_040,5,3,1,8,12,4,2.666666667,10.66666667,,,,,3,1,8,12,,,,,,,,,,,,,
135,4,28L,G1,-,AC_070,2,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,,,,,2,,,,,,,,,,,
135,4,28R,G1,-,AC_040,3,2,1,2,2,3,1,3,,,,,2,1,2,2,,,,,,,,,,,,,
136,4,29L,G1,-,AC_203,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
136,4,29R,G1,-,AC_216,5,1,1,1,1,2,1,2,,,,,1,1,1,1,,,,,,,,,,,,,
137,4,30L,G2,X,AC_143,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
137,4,30R,G1,-,AC_204,4,0,4,0,0,4,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,4,,,,,,,
138,4,31L,G2,X,AC_095,1,2,0,6,7,2,3,6,,,,,2,,6,7,,,,,,,,,,,,,
138,4,31R,G2,X,AC_068,1,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,,,,,2,,,,,,,,,,,
139,4,32L,G2,X,AC_179,5,5,3,2,7,8,0.4,3.2,,,,,4,3,2,7,1,,0,0,,,,,,,,,
139,4,32R,G2,X,AC_190,1,2,1,5,6,3,2.5,7.5,,,,,2,,5,6,,1,,,,,,,,,,,
140,4,33L,G2,X,AC_118,3,1,2,2,4,3,2,6,,,,,1,2,2,4,,,,,,,,,,,,,
140,4,33R,G2,X,AC_064,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,1,,,,,,,,,,,
141,4,34L,G2,X,AC_147,1,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
141,4,34R,G2,X,AC_131,3,0,6,0,0,6,#DIV/0!,#DIV/0!,,,,,,6,,,,,,,,,,,,,,,
142,4,35R,G1,-,AC_062,3,4,4,21,26,8,5.25,42,,,,,4,4,21,26,,,,,,,,,,,,,
143,4,36L,G2,X,AC_159,5,1,1,5,7,2,5,10,,,,,1,1,5,7,,,,,,,,,,,,,formerly AC_159A
143,4,36R,G2,X,AC_159,5,1,3,4,6,4,4,16,,,,,1,3,4,6,,,,,,,,,,,,,formerly AC_159B
144,5,1L,G1,-,AC_109,2,5,0,0,33,5,0,0,,,,,5,,0,33,,,,,,,,,,,,,
144,5,1R,G1,-,AC_153,1,6,0,3,22,6,0.5,3,,,,,6,,3,22,,,,,,,,,,,,,
145,5,2L,G1,-,AC_200,5,3,0,0,6,3,0,0,,,,,3,,0,6,,,,,,,,,,,,,
145,5,2R,G1,-,AC_171,2,4,0,1,9,4,0.25,1,,,,,3,,0,8,1,,1,1,,,,,,,,,
146,5,3L,G2,X,AC_128,5,5,1,8,12,6,1.6,9.6,,,,,4,,3,7,1,,5,5,,1,,,,,,,
146,5,3R,G2,X,AC_046,2,7,2,17,62,9,2.428571429,21.85714286,,,,,4,1,9,28,3,,8,34,,1,,,,,,,
147,5,4L,G1,-,AC_058,2,13,2,37,65,15,2.846153846,42.69230769,,,,,9,,24,46,4,2,13,19,,,,,,,,,
147,5,4R,G1,-,AC_195,5,6,2,31,42,8,5.166666667,41.33333333,,,,,6,,31,42,,2,,,,,,,,,,,
148,5,5L,G2,X,AC_208,5,2,0,4,5,2,2,4,,,,,1,,3,4,1,,1,1,,,,,,,,,
148,5,5R,G2,X,AC_178,5,11,0,12,43,11,1.090909091,12,,,,,6,,6,27,5,,6,16,,,,,,,,,
149,5,6R,G2,X,AC_010,5,6,0,4,4,6,0.6666666667,4,,,,,2,,1,1,4,,3,3,,,,,,,,,
150,5,7L,G1,-,AC_068,2,5,2,13,18,7,2.6,18.2,,,,,2,2,8,11,3,,5,7,,,,,,,,,
150,5,7R,G2,X,AC_188,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
151,5,8L,G1,-,AC_206,5,3,2,1,4,5,0.3333333333,1.666666667,,,,,3,2,1,4,,,,,,,,,,,,,
151,5,8R,G2,X,AC_032,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
152,5,9L,G2,X,AC_111,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
152,5,9R,G1,-,AC_056,4,4,1,3,3,5,0.75,3.75,,,,,3,1,3,3,1,,0,0,,,,,,,,,
153,5,10L,G1,-,AC_217,3,1,2,0,2,3,0,0,,,,,1,2,0,2,,,,,,,,,,,,,
153,5,10R,G1,-,AC_064,5,5,1,16,23,6,3.2,19.2,,,,,5,,16,23,,1,,,,,,,,,,,
154,5,11L,G2,X,AC_064,3,11,0,18,27,11,1.636363636,18,,,,,6,,10,17,5,,8,10,,,,,,,,,
154,5,11R,G1,-,AC_070,2,2,0,3,6,2,1.5,3,,,,,2,,3,6,,,,,,,,,,,,,
155,5,12R,G1,-,AC_142,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
156,5,13L,G2,X,AC_153,2,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
157,5,14L,G2,X,AC_128,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
157,5,14R,G1,-,AC_040,2,4,2,8,10,6,2,12,,,,,2,2,6,8,2,,2,2,,,,,,,,,
158,5,15L,G1,-,AC_104,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
158,5,15R,G1,-,AC_005,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
159,5,16L,G1,-,AC_030,1,4,2,12,14,6,3,18,,,,,4,1,12,14,,1,,,,,,,,,,,
159,5,16R,G2,X,AC_048,5,4,1,10,12,5,2.5,12.5,,,,,4,,10,12,,1,,,,,,,,,,,
160,5,17L,G1,-,AC_144,1,2,3,12,12,5,6,30,,,,,2,1,12,12,,2,,,,,,,,,,,
160,5,17R,G1,-,AC_213,4,1,1,2,2,2,2,4,,,,,1,,2,2,,1,,,,,,,,,,,
161,5,18L,G1,-,AC_115,3,6,1,3,15,7,0.5,3.5,,,,,4,1,3,11,2,,0,4,,,,,,,,,
161,5,18R,G2,X,AC_090,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
162,5,19L,G2,X,AC_109,4,3,1,2,9,4,0.6666666667,2.666666667,,,,,3,1,2,9,,,,,,,,,,,,,
162,5,19R,G1,-,AC_090,4,3,0,1,5,3,0.3333333333,1,,,,,2,,1,5,1,,0,0,,,,,,,,,
163,5,20L,G2,X,AC_192,4,4,0,5,20,4,1.25,5,,,,,1,,4,8,3,,1,12,,,,,,,,,
163,5,20R,G2,X,AC_205,2,3,1,1,2,4,0.3333333333,1.333333333,,,,,3,,1,2,,1,,,,,,,,,,,
164,5,21L,G1,-,AC_097,5,3,2,5,17,5,1.666666667,8.333333333,,,,,3,1,5,17,,1,,,,,,,,,,,
164,5,21R,G2,X,AC_182,1,3,2,1,11,5,0.3333333333,1.666666667,,,,,2,2,0,10,1,,1,1,,,,,,,,,
165,5,22L,G1,-,AC_160,4,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
165,5,22R,G2,X,AC_204,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
166,5,23L,G1,-,AC_155,4,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
167,5,24L,G2,X,AC_192,4,1,1,3,3,2,3,6,,,,,1,1,3,3,,,,,,,,,,,,,
167,5,24R,G1,-,AC_046,4,1,0,5,7,1,5,5,,,,,1,,5,7,,,,,,,,,,,,,
168,5,25L,G2,X,AC_181,2,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
168,5,25R,G2,X,AC_123,1,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
169,5,26L,G2,X,AC_215,2,3,0,3,4,3,1,3,,,,,1,,0,1,2,,3,3,,,,,,,,,
169,5,26R,G1,-,AC_095,4,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,2,,,,1,,,,,,,,,,,
170,5,27L,G2,X,AC_142,5,2,0,7,10,2,3.5,7,,,,,2,,7,10,,,,,,,,,,,,,
170,5,27R,G2,X,AC_206,1,1,1,0,1,2,0,0,,,,,1,1,0,1,,,,,,,,,,,,,
171,5,28L,G2,X,AC_120,3,1,1,0,1,2,0,0,,,,,1,1,0,1,,,,,,,,,,,,,
171,5,28R,G2,X,AC_171,4,0,4,0,0,4,#DIV/0!,#DIV/0!,,,,,,4,,,,,,,,,,,,,,,
172,5,29L,G1,-,AC_185,4,1,1,4,4,2,4,8,,,,,1,1,4,4,,,,,,,,,,,,,
172,5,29R,G1,-,AC_147,1,2,3,4,11,5,2,10,,,,,2,3,4,11,,,,,,,,,,,,,
173,5,30L,G1,-,AC_130,1,1,1,0,0,2,0,0,,,,,1,1,0,0,,,,,,,,,,,,,
173,5,30R,G1,-,AC_058,1,2,5,2,7,7,1,7,,,,,2,3,2,7,,2,,,,,,,,,,,
174,5,31L,G1,-,AC_159,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
174,5,31R,G2,X,AC_158,3,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
175,5,32L,G1,-,AC_011,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
176,5,33L,G1,-,AC_114,2,1,1,3,3,2,3,6,,,,,1,1,3,3,,,,,,,,,,,,,
176,5,33R,G1,-,AC_100,5,1,1,0,1,2,0,0,,,,,1,1,0,1,,,,,,,,,,,,,
177,5,34L,G1,-,AC_153,3,7,8,35,36,15,5,75,,,,,7,8,35,36,,,,,,,,,,,,,
177,5,34R,G2,X,AC_081,3,1,2,7,7,3,7,21,,,,,1,2,7,7,,,,,,,,,,,,,
178,5,35L,G2,X,AC_216,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
178,5,35R,G2,X,AC_168,3,2,3,6,10,5,3,15,,,,,2,3,6,10,,,,,,,,,,,,,
179,5,36L,G1,-,AC_205,1,4,3,5,12,7,1.25,8.75,,,,,4,2,5,12,,1,,,,,,,,,,,
179,5,36R,G1,-,AC_034,3,4,4,11,11,8,2.75,22,,,,,4,4,11,11,,,,,,,,,,,,,
180,6,1L,G1,-,AC_083,5,1,0,0,3,1,0,0,,,,,1,,0,3,,,,,,,,,,,,,
180,6,1R,G2,X,AC_016,2,7,1,5,15,8,0.7142857143,5.714285714,,,,,4,,0,3,1,,0,3,2,1,5,9,,,,,
181,6,2L,G1,-,AC_115,5,6,3,11,18,9,1.833333333,16.5,,,,,4,,9,16,1,3,1,1,1,,1,1,,,,,
181,6,2R,G2,X,AC_160,4,12,6,24,112,18,2,36,,,,,8,,20,91,3,2,4,19,1,4,0,2,,,,,
182,6,3R,G1,-,AC_120,3,7,1,17,43,8,2.428571429,19.42857143,,,,,7,,17,43,,1,,,,,,,,,,,
183,6,4L,G1,-,AC_099,1,4,0,9,33,4,2.25,9,,,,,4,,9,33,,,,,,,,,,,,,
183,6,4R,G1,-,AC_131,4,4,4,8,14,8,2,16,,,,,4,,8,14,,4,,,,,,,,,,,1 viable seed missing (5/26)
184,6,5L,G2,X,AC_110,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
184,6,5R,G1,-,AC_054,5,9,3,7,17,12,0.7777777778,9.333333333,,,,,5,,5,15,4,3,2,2,,,,,,,,,
185,6,6L,G1,-,AC_104,2,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
185,6,6R,G1,-,AC_171,2,1,2,0,0,3,0,0,,,,,1,2,0,0,,,,,,,,,,,,,
186,6,7L,G1,-,AC_185,3,6,0,14,28,6,2.333333333,14,,,,,4,,10,16,2,,4,12,,,,,,,,,
187,6,8L,G1,-,AC_187,2,8,1,26,32,9,3.25,29.25,,,,,4,,13,16,4,1,13,16,,,,,,,,,
188,6,9L,G2,X,AC_136,2,11,4,23,34,15,2.090909091,31.36363636,,,,,8,2,20,26,3,,3,8,,2,,,,,,,
189,6,10L,G2,X,AC_187,4,2,2,14,14,4,7,28,,,,,2,,14,14,,2,,,,,,,,,,,
190,6,11L,G1,-,AC_111,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
190,6,11R,G1,-,AC_095,5,4,1,13,18,5,3.25,16.25,,,,,4,,13,18,,1,,,,,,,,,,,
192,6,13R,G1,-,AC_122,5,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
193,6,14L,G2,X,AC_197,1,2,4,0,5,6,0,0,,,,,2,4,0,5,,,,,,,,,,,,,1 non-viable seed missing
193,6,14R,G2,X,AC_120,3,4,2,5,7,6,1.25,7.5,,,,,4,2,5,7,,,,,,,,,,,,,
194,6,15L,G2,X,AC_213,3,3,1,6,6,4,2,8,,,,,3,1,6,6,,,,,,,,,,,,,
194,6,15R,G1,-,AC_158,5,0,4,0,0,4,#DIV/0!,#DIV/0!,,,,,,,,,,4,,,,,,,,,,,
195,6,16L,G1,-,AC_109,4,1,3,1,1,4,1,4,,,,,1,3,1,1,,,,,,,,,,,,,
196,6,17L,G1,-,AC_172,3,1,0,2,2,1,2,2,,,,,1,,2,2,,,,,,,,,,,,,
196,6,17R,G2,X,AC_143,3,2,0,10,11,2,5,10,,,,,2,,10,11,,,,,,,,,,,,,
197,6,18R,G1,-,AC_099,2,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
198,6,19R,G1,-,AC_066,5,2,3,3,6,5,1.5,7.5,,,,,2,,3,6,,3,,,,,,,,,,,
199,6,20L,G1,-,AC_172,4,1,1,5,5,2,5,10,,,,,1,1,5,5,,,,,,,,,,,,,
199,6,20R,G2,X,AC_142,4,6,2,5,21,8,0.8333333333,6.666666667,,,,,5,2,5,16,1,,0,5,,,,,,,,,
200,6,21L,G2,X,AC_171,4,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
200,6,21R,G2,X,AC_199,5,2,0,0,3,2,0,0,,,,,2,,0,3,,,,,,,,,,,,,
201,6,22R,G1,-,AC_193,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
202,6,23L,G2,X,AC_115,1,20,8,49,68,28,2.45,68.6,,,,,3,2,10,12,17,,39,56,,6,,,,,,,
202,6,23R,G1,-,AC_062,5,2,5,4,7,7,2,14,,,,,2,5,4,7,,,,,,,,,,,,,
203,6,24R,G1,-,AC_189,3,1,4,0,3,5,0,0,,,,,1,3,0,3,,1,,,,,,,,,,,
204,6,25L,G2,X,AC_090,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
204,6,25R,G1,-,AC_055,5,10,1,27,52,11,2.7,29.7,4,,5,19,6,,22,33,,1,,,,,,,,,,,
205,6,26R,G2,X,AC_208,1,1,1,0,0,2,0,0,1,,0,0,,1,,,,,,,,,,,,,,,
206,6,27L,G2,X,AC_182,2,2,1,7,7,3,3.5,10.5,,,,,2,1,7,7,,,,,,,,,,,,,
206,6,27R,G1,-,AC_130,5,1,2,7,7,3,7,21,,,,,1,1,7,7,,1,,,,,,,,,,,
207,6,28L,G2,X,AC_016,2,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
207,6,28R,G2,X,AC_131,5,4,3,10,13,7,2.5,17.5,,,,,4,1,10,13,,2,,,,,,,,,,,
208,6,29L,G2,X,AC_086,2,2,4,2,2,6,1,6,,,,,2,4,2,2,,,,,,,,,,,,,
208,6,29R,G2,X,AC_186,1,2,1,4,7,3,2,6,,,,,2,1,4,7,,,,,,,,,,,,,
209,6,30L,G2,X,AC_052,3,3,0,3,5,3,1,3,3,,3,5,,,,,,,,,,,,,,,,,
209,6,30R,G2,X,AC_158,5,1,1,0,0,2,0,0,,,,,1,,0,0,,1,,,,,,,,,,,
210,6,31L,G2,X,AC_034,3,1,1,6,6,2,6,12,,,,,1,1,6,6,,,,,,,,,,,,,
210,6,31R,G1,-,AC_171,5,2,1,6,8,3,3,9,1,,5,5,1,1,1,3,,,,,,,,,,,,,
212,6,33R,G1,-,AC_182,3,0,4,0,0,4,#DIV/0!,#DIV/0!,,,,,,4,,,,,,,,,,,,,,,
213,6,34L,G1,-,AC_128,1,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
213,6,34R,G2,X,AC_147,4,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
214,6,35R,G1,-,AC_118,5,0,5,0,0,5,#DIV/0!,#DIV/0!,,,,,,5,,,,,,,,,,,,,,,
215,7,1L,G1,-,AC_142,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
216,7,2L,G2,X,AC_072,5,3,0,0,0,3,0,0,,,,,3,,0,0,,,,,,,,,,,,,
216,7,2R,G1,-,AC_110,5,5,0,5,10,5,1,5,,,,,4,,5,10,1,,0,0,,,,,,,,,
217,7,3L,G2,X,AC_191,5,9,0,5,15,9,0.5555555556,5,,,,,6,,5,15,3,,0,0,,,,,,,,,
217,7,3R,G2,X,AC_070,1,6,0,2,8,6,0.3333333333,2,,,,,5,,2,7,1,,0,1,,,,,,,,,
218,7,4L,G2,X,AC_187,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
218,7,4R,G1,-,AC_201,5,5,0,3,8,5,0.6,3,,,,,5,,3,8,,,,,,,,,,,,,
220,7,6L,G2,X,AC_172,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
220,7,6R,G1,-,AC_095,3,5,0,8,12,5,1.6,8,,,,,5,,8,12,,,,,,,,,,,,,
221,7,7L,G1,-,AC_056,3,28,1,73,126,29,2.607142857,75.60714286,,,,,21,1,63,109,7,,10,17,,,,,,,,,
221,7,7R,G1,-,AC_055,3,9,1,20,35,10,2.222222222,22.22222222,,,,,7,1,15,28,2,,5,7,,,,,,,,,
222,7,8L,G2,X,AC_211,1,6,2,15,23,8,2.5,20,,,,,5,2,14,22,1,,1,1,,,,,,,,,
222,7,8R,G2,X,AC_199,4,4,2,6,21,6,1.5,9,,,,,4,2,6,21,,,,,,,,,,,,,
223,7,9L,G1,-,AC_052,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
223,7,9R,G2,X,AC_204,4,1,0,0,2,1,0,0,,,,,1,,0,2,,,,,,,,,,,,,
224,7,10L,G1,-,AC_074,4,1,3,5,5,4,5,20,,,,,1,2,5,5,,1,,,,,,,,,,,
224,7,10R,G1,-,AC_179,5,5,1,14,22,6,2.8,16.8,,,,,5,1,14,22,,,,,,,,,,,,,
225,7,11R,G2,X,AC_200,3,8,0,35,45,8,4.375,35,,,,,7,,31,41,1,,4,4,,,,,,,,,
226,7,12L,G1,-,AC_017,2,3,0,2,3,3,0.6666666667,2,,,,,3,,2,3,,,,,,,,,,,,,
226,7,12R,G2,X,AC_056,1,4,4,10,13,8,2.5,20,,,,,4,3,10,13,,1,,,,,,,,,,,
227,7,13L,G2,X,AC_216,2,12,0,5,9,12,0.4166666667,5,,,,,11,,5,9,1,,0,0,,,,,,,,,
228,7,14L,G1,-,AC_048,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
228,7,14R,G2,X,AC_189,1,1,0,0,3,1,0,0,,,,,1,,0,3,,,,,,,,,,,,,
229,7,15R,G2,X,AC_122,2,5,1,6,10,6,1.2,7.2,,,,,5,1,6,10,,,,,,,,,,,,,
230,7,16L,G2,X,AC_217,1,7,2,10,22,9,1.428571429,12.85714286,,,,,7,2,10,22,,,,,,,,,,,,,
231,7,17R,G1,-,AC_066,5,2,3,3,9,5,1.5,7.5,,,,,2,3,3,9,,,,,,,,,,,,,
233,7,19R,G2,X,AC_155,2,5,1,15,19,6,3,18,,,,,4,1,14,18,1,,1,1,,,,,,,,,
234,7,20L,G2,X,AC_110,5,7,4,34,45,11,4.857142857,53.42857143,,,,,7,4,34,45,,,,,,,,,,,,,
235,7,21R,G2,X,AC_017,3,1,3,2,2,4,2,8,,,,,1,3,2,2,,,,,,,,,,,,,
236,7,22L,G2,X,AC_051,1,1,1,2,2,2,2,4,,,,,1,1,2,2,,,,,,,,,,,,,
236,7,22R,G2,X,AC_086,5,5,1,17,22,6,3.4,20.4,,,,,4,1,17,20,1,,0,2,,,,,,,,,
237,7,23L,G2,X,AC_104,1,2,1,7,7,3,3.5,10.5,,,,,2,1,7,7,,,,,,,,,,,,,
237,7,23R,G2,X,AC_057,2,1,0,2,2,1,2,2,,,,,1,,2,2,,,,,,,,,,,,,
238,7,24L,G1,-,AC_218,5,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
238,7,24R,G2,X,AC_081,1,1,1,2,2,2,2,4,,,,,1,1,2,2,,,,,,,,,,,,,
239,7,25L,G1,-,AC_114,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
